step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.85,4.6519,+0.0995,2.1791,2.4729,0.3531,+0.4280,19.6089,53.6921
1,0.84,4.5143,+0.0151,2.1610,2.3533,0.2501,+0.7783,17.1284,49.4435
2,0.85,4.4700,+0.0030,2.1463,2.3237,0.2249,+0.7956,17.3095,51.0263
3,0.84,4.4688,+0.0451,2.2042,2.2645,0.2523,+0.7582,19.3406,51.5543
4,0.86,4.3600,-0.0191,2.2491,2.1109,0.2473,+0.7689,20.2546,50.7160
5,0.85,4.2929,-0.0441,2.1666,2.1263,0.1648,+0.8738,19.7046,50.0691
6,0.82,4.2658,-0.0119,2.1925,2.0733,0.1416,+0.4584,18.5734,51.0703
7,0.86,4.2677,+0.0543,2.1398,2.1279,0.2077,+0.2131,18.6086,51.0628
8,0.85,4.2306,+0.0297,2.1721,2.0585,0.2007,+0.7021,17.7597,48.3006
9,0.82,4.2707,+0.0388,2.1413,2.1294,0.1228,+0.9711,21.0533,51.7933
10,0.85,4.2753,+0.0424,2.1984,2.0769,0.2168,+0.7398,19.5703,49.2602
11,0.86,4.1886,-0.0118,2.1126,2.0760,0.1135,+0.7976,18.0015,46.6288
12,0.87,4.2466,+0.0003,2.1276,2.1190,0.0899,+0.4717,20.0569,48.4635
13,0.85,4.2576,-0.0035,2.1294,2.1283,0.0960,+0.6673,19.4636,48.9676
14,0.84,4.1838,+0.0052,2.1424,2.0414,0.1250,+0.1297,17.7287,48.5091
15,0.82,4.1854,-0.0041,2.1331,2.0523,0.1138,+0.4639,17.5677,47.4859
16,0.87,4.2228,-0.0047,2.1805,2.0423,0.1447,+0.3923,16.8521,45.9267
17,0.88,4.2200,-0.0001,2.1197,2.1003,0.1671,+0.6181,16.3689,42.3007
18,0.85,4.1529,+0.0183,2.1059,2.0470,0.0648,+0.4918,15.0792,42.4258
19,0.85,4.1424,+0.0577,2.1215,2.0209,0.0494,+0.3067,14.7301,43.5182
20,0.85,4.1311,+0.0007,2.1146,2.0164,0.0671,+0.4302,15.7218,41.5533
21,0.85,4.1731,+0.0498,2.1494,2.0238,0.1201,+0.5526,17.7657,41.8363
22,0.85,4.1537,+0.0114,2.0703,2.0834,0.0708,+0.3348,18.0647,41.3987
23,0.84,4.1755,+0.0167,2.1084,2.0671,0.1066,+0.3811,16.7917,37.3479
24,0.85,4.1379,+0.0012,2.1065,2.0314,0.0795,+0.3602,15.9373,35.2593
25,0.83,4.2008,-0.0139,2.1250,2.0758,0.1153,+0.3242,15.5075,34.4170
26,0.87,4.1730,-0.0158,2.1012,2.0718,0.1442,+0.4520,13.6194,35.0425
27,0.82,4.1258,-0.0229,2.0669,2.0589,0.0683,+0.4035,15.2710,36.0319
28,0.84,4.1003,-0.0353,2.0931,2.0071,0.0756,+0.4185,14.4736,35.6357
29,0.85,4.0938,-0.0303,2.0620,2.0318,0.0384,+0.3402,13.7863,33.4883
30,0.87,4.1084,+0.0049,2.0835,2.0249,0.0861,+0.4868,14.8016,34.7862
31,0.85,4.0800,-0.0125,2.0750,2.0050,0.0586,+0.4543,14.4057,32.6493
32,0.83,4.0908,-0.0217,2.0720,2.0188,0.0394,+0.4984,13.1917,31.3989
33,0.86,4.1219,+0.0203,2.0738,2.0481,0.0607,+0.4229,14.3125,33.2956
34,0.86,4.0953,+0.0129,2.0556,2.0397,0.0672,+0.5718,13.5344,32.4808
35,0.85,4.1165,+0.0098,2.0429,2.0735,0.0456,+0.3348,12.4290,31.0145
36,0.83,4.0995,-0.0112,2.0444,2.0551,0.0280,+0.5988,11.3122,27.4164
37,0.84,4.0965,+0.0356,2.0301,2.0664,0.0396,+0.8381,11.4233,30.6274
38,0.83,4.0597,+0.0234,2.0428,2.0169,0.0297,+0.7198,11.4413,28.8024
39,0.84,4.1127,-0.0042,2.0671,2.0456,0.0744,+0.5743,11.8577,27.0546
40,0.85,4.0890,+0.0018,2.0529,2.0361,0.0535,+0.6467,11.2691,27.2960
41,0.84,4.1114,+0.0165,2.0562,2.0551,0.1728,+0.4368,12.6254,28.3810
