step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
65,0.89,4.7133,+0.0156,2.7011,2.0122,0.0287,+0.2918,1.4679,4.8040
66,0.89,4.7299,-0.0101,2.6906,2.0393,0.0174,+0.3500,1.6932,5.2239
67,0.89,4.7409,+0.0009,2.6920,2.0489,0.0156,+0.3710,1.7714,5.3493
68,0.88,4.7481,+0.0068,2.6934,2.0547,0.0165,+0.4199,2.3576,5.5562
69,0.90,4.7419,+0.0040,2.6688,2.0731,0.0192,+0.3751,2.3758,5.7133
70,0.88,4.7383,-0.0074,2.6909,2.0475,0.0213,+0.1286,1.7435,4.6822
71,0.88,4.7516,+0.0016,2.7013,2.0503,0.0502,+0.1682,1.8567,4.7569
72,0.87,4.7355,+0.0212,2.6864,2.0491,0.0217,+0.1355,1.4717,4.3985
73,0.89,4.7330,-0.0085,2.6850,2.0480,0.0126,+0.1782,1.6878,4.9659
74,0.86,4.7195,-0.0033,2.6962,2.0234,0.0165,+0.0998,1.5283,4.7832
75,0.88,4.7441,+0.0031,2.7409,2.0032,0.0167,+0.1807,1.4723,4.5923
76,0.89,4.7394,+0.0067,2.7346,2.0048,0.0197,+0.0856,1.5506,4.8646
77,0.88,4.7394,-0.0083,2.7454,1.9940,0.0247,+0.0693,1.5032,4.6080
78,0.88,4.7390,+0.0021,2.7633,1.9756,0.0490,-0.1122,1.5336,4.6304
79,0.88,4.7367,+0.0152,2.7371,1.9995,0.0328,-0.1632,1.5964,4.3377
80,0.89,4.7157,+0.0082,2.6689,2.0468,0.0154,-0.1549,1.6542,4.6807
81,0.88,4.7171,-0.0117,2.6966,2.0206,0.0130,-0.2175,1.4518,4.3110
82,0.89,4.7487,-0.0076,2.7161,2.0326,0.0541,-0.3121,1.7481,4.9422
83,0.89,4.7508,-0.0019,2.7331,2.0177,0.0409,-0.3015,1.5631,4.0735
84,0.88,4.7365,+0.0018,2.7133,2.0232,0.0134,-0.2130,1.6304,4.3224
85,0.90,4.7637,-0.0112,2.7430,2.0207,0.0233,-0.1319,1.7997,4.7771
