step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.83,4.5756,+0.0168,2.1891,2.3865,0.3343,-0.5961,23.0449,74.5780
1,0.86,4.6557,-0.0116,2.2568,2.3989,0.4159,-0.2342,21.5409,70.1126
2,0.86,4.5532,+0.0708,2.2098,2.3434,0.2097,-0.5561,20.3185,67.6570
3,0.86,4.5301,+0.0748,2.2004,2.3297,0.2605,-0.3382,20.7654,63.5319
4,0.87,4.5345,-0.0323,2.2364,2.2981,0.1909,-0.3175,20.5522,65.0439
5,0.83,4.4550,+0.0422,2.2150,2.2400,0.1891,-0.2613,20.9709,62.7045
6,0.84,4.4165,-0.0159,2.2440,2.1725,0.1990,-0.1320,19.4119,62.8782
7,0.84,4.4465,-0.0380,2.2754,2.1712,0.1873,-0.3416,21.0708,62.1780
8,0.84,4.3927,+0.0347,2.2326,2.1601,0.1978,-0.7660,21.0194,59.3597
9,0.84,4.3835,+0.0054,2.2179,2.1655,0.1940,-0.3712,21.0201,62.3452
10,0.85,4.3211,+0.0524,2.2049,2.1162,0.1242,-0.7874,22.1473,62.8220
11,0.86,4.3031,+0.0118,2.1891,2.1139,0.1133,-0.9640,19.6802,55.1459
12,0.80,4.2734,-0.0297,2.1796,2.0938,0.0909,-0.7092,20.2963,57.9569
13,0.84,4.2516,+0.0209,2.1625,2.0891,0.0932,-0.8174,19.2162,52.1475
14,0.87,4.2302,-0.0006,2.1634,2.0668,0.0990,-0.9348,18.8000,51.5248
15,0.83,4.1920,+0.0311,2.1753,2.0168,0.1352,-0.7415,18.0810,52.1155
16,0.87,4.1998,+0.0264,2.1889,2.0109,0.0772,-0.7231,16.9373,50.4533
17,0.85,4.2450,+0.0198,2.1430,2.1020,0.0905,-0.5276,16.4790,47.8149
18,0.86,4.1700,-0.0219,2.1527,2.0173,0.1227,-0.4602,14.6318,44.9439
19,0.85,4.1836,+0.0297,2.1478,2.0358,0.1028,-0.5413,17.7371,46.1780
20,0.84,4.2194,+0.0478,2.2060,2.0134,0.4133,-0.4580,18.2512,43.7369
21,0.85,4.2225,+0.0193,2.1882,2.0344,0.1160,+0.0292,18.0238,45.0389
22,0.84,4.1956,+0.0083,2.1964,1.9992,0.1377,-0.0653,16.0456,43.7475
23,0.84,4.2637,-0.0463,2.1889,2.0748,0.0971,-0.3238,14.5207,43.6983
24,0.87,4.1813,-0.0253,2.1614,2.0200,0.1137,-0.3298,15.6456,44.1089
25,0.85,4.1215,-0.0355,2.0883,2.0333,0.0434,-0.2449,13.4615,39.7727
26,0.85,4.0894,-0.0240,2.0924,1.9970,0.0630,-0.4999,13.0962,37.7615
27,0.85,4.1059,-0.0016,2.1344,1.9715,0.0781,-0.4758,12.6754,37.1561
28,0.83,4.1649,+0.0309,2.1508,2.0142,0.1421,-0.4410,14.1592,39.6512
29,0.85,4.1387,+0.0322,2.1508,1.9879,0.0820,-0.5877,14.1093,38.4244
30,0.87,4.1259,-0.0056,2.1022,2.0237,0.0713,-0.3622,13.6982,33.3025
31,0.85,4.0996,+0.0258,2.0765,2.0231,0.0744,-0.4370,12.2151,31.3501
32,0.88,4.1361,+0.0071,2.0626,2.0735,0.0706,-0.2567,13.2180,32.6185
33,0.83,4.1289,+0.0010,2.0769,2.0520,0.0646,-0.4604,12.2735,32.4739
34,0.86,4.0778,+0.0272,2.0867,1.9911,0.0558,-0.4433,11.1308,30.6992
35,0.84,4.0834,+0.0215,2.0982,1.9852,0.0401,-0.5092,10.8151,30.4593
36,0.85,4.1019,+0.0220,2.0892,2.0126,0.0342,-0.7331,11.3941,30.2871
37,0.84,4.1023,+0.0029,2.1070,1.9953,0.0360,-0.9440,12.0314,32.4302
38,0.85,4.0662,+0.0264,2.0892,1.9770,0.0353,-0.7355,13.5875,31.5262
39,0.84,4.0926,+0.0048,2.1063,1.9862,0.0838,-0.7704,13.9073,33.1045
40,0.85,4.1084,-0.0133,2.1227,1.9857,0.0941,-0.8088,12.5975,31.7369
41,0.83,4.1309,+0.0046,2.1011,2.0298,0.0751,-0.8821,13.0481,33.4592
42,0.82,4.1112,+0.0025,2.0972,2.0139,0.0467,-0.8216,11.5751,32.2972
43,0.84,4.0706,-0.0029,2.1047,1.9659,0.0686,-0.8104,9.6045,30.0020
44,0.83,4.0482,-0.0170,2.0598,1.9884,0.0917,-0.8382,9.3111,28.3449
45,0.83,4.0752,-0.0052,2.0756,1.9996,0.0807,-0.7944,10.1780,28.5287
