step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.85,4.6928,-0.0455,2.2739,2.4189,0.4263,-1.5257,26.4561,73.9755
1,0.85,4.6242,-0.0551,2.2758,2.3483,0.5088,-1.5314,26.1512,71.9496
2,0.85,4.5667,-0.0339,2.2905,2.2762,0.4524,-1.1974,24.9915,69.1802
3,0.85,4.6392,+0.0126,2.3343,2.3048,0.3377,-1.1018,26.5850,72.3030
4,0.85,4.4897,-0.0839,2.2778,2.2120,0.2722,-0.9478,24.7682,66.9091
5,0.85,4.4731,-0.0052,2.2558,2.2172,0.2189,-0.7481,21.3714,62.5006
6,0.85,4.4306,-0.0016,2.2527,2.1779,0.2310,-0.7783,22.9334,61.8791
7,0.85,4.3927,+0.0035,2.2521,2.1406,0.1672,-0.8173,21.9197,59.5417
8,0.84,4.3692,+0.0027,2.2476,2.1216,0.2130,-0.6345,20.3283,56.7721
9,0.84,4.3497,+0.0022,2.2173,2.1324,0.1839,-0.3008,19.3283,55.4664
10,0.84,4.2715,+0.0282,2.1894,2.0821,0.1484,-0.2720,18.0293,53.4791
11,0.84,4.2139,+0.0408,2.1661,2.0478,0.1481,-0.2679,14.5830,46.5393
12,0.85,4.2329,+0.0037,2.1814,2.0515,0.1058,-0.3391,13.8088,46.1833
13,0.85,4.2408,-0.0103,2.1599,2.0810,0.1111,-0.2496,13.6638,44.4111
14,0.86,4.1887,-0.0100,2.1236,2.0651,0.0879,-0.1858,13.9308,43.0322
15,0.85,4.1777,-0.0175,2.1342,2.0434,0.0958,-0.1747,11.6065,40.8246
16,0.83,4.1742,+0.0030,2.1508,2.0233,0.0802,-0.1881,11.1474,38.9593
17,0.84,4.1531,-0.0208,2.1076,2.0455,0.0766,-0.2605,10.3922,37.3428
18,0.85,4.1404,-0.0300,2.1193,2.0211,0.0733,-0.3791,10.4041,38.9611
19,0.85,4.1269,-0.0142,2.0815,2.0455,0.0632,-0.4397,9.5489,38.3773
20,0.83,4.1478,-0.0115,2.0982,2.0496,0.1101,-0.1118,10.3561,37.7766
21,0.85,4.1472,+0.0159,2.0977,2.0495,0.0592,-0.1696,10.9067,38.2109
22,0.85,4.1139,+0.0180,2.0943,2.0196,0.0684,-0.0828,10.4884,36.9794
23,0.84,4.1376,+0.0097,2.1026,2.0350,0.0629,-0.0081,9.6279,35.9983
24,0.84,4.1439,+0.0091,2.0914,2.0525,0.0869,-0.2994,9.5072,34.0081
25,0.85,4.1163,+0.0104,2.0738,2.0425,0.0456,+0.0450,9.6242,35.3852
26,0.83,4.1254,-0.0142,2.0609,2.0645,0.0465,+0.0930,10.0368,35.0686
27,0.85,4.1124,-0.0134,2.0778,2.0346,0.0553,+0.1130,9.2628,33.0776
28,0.84,4.0905,+0.0310,2.0469,2.0435,0.0461,+0.2702,8.2719,31.0948
29,0.84,4.0850,+0.0326,2.0557,2.0293,0.0747,+0.3864,8.9882,30.5316
30,0.83,4.0836,+0.0292,2.0686,2.0150,0.0734,+0.3864,8.3885,29.3755
31,0.84,4.0864,+0.0037,2.0662,2.0203,0.0602,+0.2911,7.8827,28.7218
32,0.84,4.0875,-0.0144,2.0587,2.0288,0.0860,+0.3507,6.9955,28.6755
33,0.85,4.0577,+0.0079,2.0396,2.0181,0.0440,+0.3764,7.0152,26.8595
34,0.85,4.0496,+0.0125,2.0501,1.9995,0.0512,+0.6139,7.7783,28.3325
35,0.84,4.0755,-0.0070,2.0538,2.0217,0.0479,+0.5942,7.5103,27.7838
36,0.84,4.0636,-0.0092,2.0452,2.0184,0.0320,+0.6352,8.1612,27.7739
37,0.84,4.0757,+0.0032,2.0414,2.0343,0.0603,+0.6316,7.6791,25.9727
38,0.84,4.0734,+0.0100,2.0578,2.0156,0.0594,+0.6276,7.5410,26.3302
39,0.84,4.0690,+0.0042,2.0316,2.0373,0.0441,+0.6019,7.1618,24.9846
40,0.84,4.0396,-0.0104,2.0134,2.0263,0.0335,+0.5946,6.4680,22.3489
41,0.84,4.0136,-0.0060,1.9899,2.0237,0.0455,+0.7740,5.6144,21.5961
42,0.84,4.0389,-0.0061,2.0081,2.0308,0.0385,+0.7958,6.0693,22.9721
43,0.85,4.0348,-0.0066,1.9897,2.0451,0.0469,+0.8825,6.0731,22.4287
44,0.85,4.0423,-0.0054,1.9777,2.0645,0.0287,+0.9649,6.9007,24.3683
45,0.84,4.0492,-0.0051,1.9825,2.0666,0.0326,+0.9430,6.6434,23.1543
46,0.83,4.0280,+0.0037,1.9889,2.0390,0.0309,+0.7923,6.7709,22.2259
47,0.83,4.0471,-0.0064,1.9870,2.0601,0.0767,+0.7008,5.8954,20.5231
48,0.85,4.0445,+0.0005,2.0069,2.0376,0.0477,+0.6647,5.2295,20.4425
49,0.83,4.0093,+0.0111,1.9816,2.0277,0.0256,+0.6032,5.0502,19.9008
50,0.84,4.0182,+0.0045,1.9873,2.0309,0.0378,+0.6878,5.0726,19.9888
51,0.83,4.0038,+0.0017,1.9685,2.0354,0.0243,+0.7379,4.5080,19.2021
52,0.84,4.0275,+0.0103,1.9856,2.0419,0.0367,+0.5985,4.4791,18.3971
53,0.83,4.0327,-0.0079,2.0004,2.0323,0.0686,+0.7248,4.4669,17.3714
54,0.81,4.0020,-0.0225,1.9675,2.0345,0.0235,+0.7143,4.9878,19.0262
55,0.83,3.9900,-0.0046,1.9501,2.0399,0.0336,+0.8169,4.8393,18.7266
56,0.84,3.9892,+0.0027,1.9490,2.0402,0.0208,+0.9425,5.6246,18.3700
57,0.83,4.0031,+0.0063,1.9571,2.0460,0.0259,+1.0430,5.8720,19.0853
58,0.83,4.0104,-0.0083,1.9780,2.0324,0.0411,+0.9170,5.8443,19.0720
59,0.84,3.9971,+0.0186,1.9601,2.0370,0.0309,+0.9746,5.9951,19.3876
60,0.86,4.0206,-0.0028,1.9709,2.0497,0.0287,+0.9898,7.3534,21.6324
61,0.84,4.0129,-0.0010,1.9543,2.0587,0.0289,+0.8404,6.2854,19.5836
62,0.83,4.0039,-0.0089,1.9650,2.0389,0.0338,+0.8098,5.0790,18.4993
63,0.84,4.0145,+0.0036,1.9628,2.0517,0.0274,+0.7833,5.3163,18.8642
64,0.82,4.0228,+0.0061,1.9728,2.0500,0.0317,+0.7928,5.9992,20.2788
65,0.82,4.0065,-0.0011,1.9732,2.0333,0.0264,+0.7731,6.0192,20.4725
66,0.84,4.0050,+0.0024,1.9684,2.0366,0.0287,+0.7521,6.3317,19.0581
67,0.85,3.9968,+0.0042,1.9729,2.0239,0.0255,+0.7489,6.1208,18.2448
68,0.83,4.0019,-0.0100,1.9725,2.0294,0.0429,+0.7604,6.4537,18.4208
69,0.84,3.9925,+0.0020,1.9610,2.0315,0.0339,+0.7374,5.2867,17.6491
70,0.83,3.9924,-0.0086,1.9607,2.0317,0.0275,+0.6578,5.3537,17.3301
71,0.84,3.9888,+0.0039,1.9656,2.0232,0.0254,+0.6256,6.0735,18.6179
72,0.83,3.9731,+0.0111,1.9514,2.0217,0.0161,+0.5406,5.3683,17.6299
73,0.84,3.9888,+0.0011,1.9649,2.0240,0.0309,+0.5798,4.9888,17.5808
74,0.84,3.9733,-0.0031,1.9593,2.0140,0.0176,+0.5920,5.4525,17.9050
75,0.85,3.9738,-0.0104,1.9546,2.0192,0.0277,+0.4664,4.8832,16.5941
76,0.85,3.9784,-0.0108,1.9470,2.0314,0.0223,+0.3841,5.5437,17.1327
77,0.84,3.9690,-0.0065,1.9444,2.0246,0.0184,+0.4149,4.9797,16.7177
78,0.85,3.9705,+0.0132,1.9540,2.0165,0.0232,+0.3591,4.7304,16.0549
79,0.83,3.9674,+0.0110,1.9504,2.0170,0.0270,+0.3292,4.6181,15.8597
80,0.84,3.9707,-0.0078,1.9401,2.0305,0.0153,+0.2347,4.2637,16.6142
81,0.84,3.9589,+0.0157,1.9391,2.0198,0.0182,+0.2195,4.4448,15.6394
82,0.84,3.9576,+0.0140,1.9282,2.0294,0.0209,+0.2727,4.6905,16.1681
83,0.83,3.9606,+0.0051,1.9287,2.0319,0.0307,+0.1307,3.9166,14.9325
84,0.85,3.9557,-0.0023,1.9422,2.0135,0.0256,+0.3451,4.6586,15.4745
85,0.83,3.9581,+0.0151,1.9450,2.0132,0.0248,+0.2785,4.1392,15.4424
86,0.85,3.9556,-0.0095,1.9339,2.0217,0.0384,+0.2155,4.1552,15.4159
87,0.85,3.9646,-0.0032,1.9418,2.0228,0.0265,+0.1305,4.8213,15.9320
88,0.85,3.9739,+0.0006,1.9505,2.0234,0.0287,+0.0890,5.0390,16.7112
89,0.84,3.9747,-0.0046,1.9401,2.0346,0.0177,+0.1951,4.9138,15.7292
90,0.85,3.9777,-0.0084,1.9512,2.0265,0.0268,+0.3267,4.7097,15.6845
