step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.90,4.7236,-0.0000,2.7236,2.0000,0.2183,-0.0000,-0.0000,0.0000
1,0.91,4.6832,-0.0000,2.6832,2.0000,0.0603,+0.0000,-0.0000,0.0000
2,0.87,4.7056,+0.0000,2.7056,2.0000,0.0537,-0.0000,0.0000,0.0000
3,0.91,4.6777,+0.0000,2.6777,2.0000,0.0458,-0.0000,0.0000,0.0000
4,0.90,4.6794,-0.0000,2.6794,2.0000,0.0550,+0.0000,-0.0000,-0.0000
5,0.89,4.7060,+0.0000,2.7060,2.0000,0.0772,+0.0000,-0.0000,0.0000
6,0.91,4.7391,-0.0000,2.7391,2.0000,0.1389,-0.0000,-0.0000,0.0000
7,0.88,4.7547,+0.0000,2.7547,2.0000,0.0923,-0.0000,-0.0000,0.0000
8,0.91,4.7671,+0.0000,2.7671,2.0000,0.2144,-0.0000,-0.0000,-0.0000
9,0.88,4.7349,-0.0000,2.7349,2.0000,0.1419,+0.0000,0.0000,0.0000
10,0.91,4.7220,+0.0000,2.7220,2.0000,0.1106,-0.0000,-0.0000,-0.0000
11,0.89,4.7154,-0.0000,2.7154,2.0000,0.1044,-0.0000,-0.0000,0.0000
12,0.89,4.6922,+0.0000,2.6922,2.0000,0.0994,-0.0000,-0.0000,0.0000
13,0.91,4.7119,+0.0000,2.7119,2.0000,0.2233,-0.0000,0.0000,0.0000
14,0.91,4.7262,-0.0000,2.7262,2.0000,0.0829,+0.0000,-0.0000,0.0000
15,0.88,4.7037,-0.0000,2.7037,2.0000,0.0683,-0.0000,0.0000,0.0000
16,0.89,4.7037,+0.0000,2.7037,2.0000,0.0550,+0.0000,0.0000,-0.0000
17,0.88,4.7402,+0.0000,2.7402,2.0000,0.1087,+0.0000,-0.0000,-0.0000
18,0.88,4.7349,-0.0000,2.7349,2.0000,0.0887,-0.0000,0.0000,-0.0000
19,0.91,4.7506,-0.0000,2.7506,2.0000,0.0786,+0.0000,0.0000,-0.0000
20,0.88,4.7197,+0.0000,2.7197,2.0000,0.0528,-0.0000,-0.0000,0.0000
21,0.89,4.7494,-0.0000,2.7495,2.0000,0.0730,+0.0000,-0.0000,-0.0000
22,0.88,4.7658,-0.0000,2.7658,2.0000,0.0952,-0.0000,-0.0000,-0.0000
23,0.89,4.8104,-0.0000,2.8104,2.0000,0.1877,+0.0000,0.0000,0.0000
24,0.89,4.7813,-0.0000,2.7813,2.0000,0.0917,-0.0000,-0.0000,0.0000
25,0.90,4.7350,+0.0000,2.7350,2.0000,0.0797,-0.0000,0.0000,0.0001
26,0.89,4.7326,-0.0000,2.7326,2.0000,0.0593,-0.0000,0.0000,-0.0000
27,0.88,4.7491,+0.0000,2.7491,2.0000,0.0745,+0.0000,-0.0000,-0.0000
28,0.87,4.7604,-0.0000,2.7604,2.0000,0.0932,+0.0000,0.0000,0.0000
29,0.90,4.7922,+0.0000,2.7922,2.0000,0.1259,-0.0000,0.0000,0.0000
30,0.89,4.7568,+0.0000,2.7568,2.0000,0.1626,+0.0000,-0.0000,0.0000
31,0.89,4.6971,-0.0000,2.6971,2.0000,0.0629,-0.0000,-0.0000,0.0000
32,0.89,4.7171,+0.0000,2.7171,2.0000,0.0865,+0.0000,-0.0000,-0.0000
33,0.90,4.7447,-0.0000,2.7447,2.0000,0.1673,-0.0000,0.0000,0.0000
34,0.89,4.7289,+0.0000,2.7289,2.0000,0.1126,+0.0000,0.0000,-0.0000
35,0.91,4.6903,-0.0000,2.6903,2.0000,0.0616,-0.0000,0.0000,-0.0000
36,0.88,4.7057,+0.0000,2.7057,2.0000,0.0807,+0.0000,-0.0000,0.0000
37,0.89,4.7270,-0.0000,2.7270,2.0000,0.1141,+0.0000,0.0000,0.0000
38,0.88,4.7899,+0.0000,2.7899,2.0000,0.1781,-0.0000,0.0000,0.0000
39,0.89,4.7612,-0.0000,2.7612,2.0000,0.1137,+0.0000,-0.0000,0.0000
40,0.90,4.7428,+0.0000,2.7428,2.0000,0.1088,+0.0000,-0.0000,0.0000
41,0.88,4.7487,-0.0000,2.7487,2.0000,0.0945,+0.0000,-0.0000,-0.0000
42,0.90,4.7161,+0.0000,2.7161,2.0000,0.0845,-0.0000,0.0000,0.0000
43,0.89,4.7042,+0.0000,2.7042,2.0000,0.0725,-0.0000,0.0000,-0.0000
44,0.89,4.7100,+0.0000,2.7100,2.0000,0.0539,+0.0000,0.0000,-0.0000
45,0.89,4.6995,-0.0000,2.6995,2.0000,0.0749,-0.0000,-0.0000,-0.0000
46,0.90,4.6954,+0.0000,2.6954,2.0000,0.0481,-0.0000,0.0000,-0.0000
47,0.89,4.6903,-0.0000,2.6903,2.0000,0.0456,-0.0000,0.0000,0.0000
48,0.90,4.7356,+0.0000,2.7356,2.0000,0.1219,-0.0000,-0.0000,0.0000
49,0.90,4.7024,-0.0000,2.7024,2.0000,0.0571,+0.0000,0.0000,-0.0000
50,0.89,4.7335,+0.0000,2.7335,2.0000,0.0735,-0.0000,0.0000,0.0000
51,0.89,4.7525,+0.0000,2.7525,2.0000,0.1004,-0.0000,-0.0000,-0.0000
52,0.87,4.8161,+0.0000,2.8161,2.0000,0.4292,+0.0000,-0.0000,0.0000
53,0.91,4.8102,-0.0000,2.8102,2.0000,0.2160,+0.0000,-0.0000,0.0000
54,0.89,4.7285,-0.0000,2.7285,2.0000,0.1088,+0.0000,0.0000,-0.0000
55,0.90,4.7923,-0.0000,2.7923,2.0000,0.2891,+0.0000,0.0000,0.0000
56,0.89,4.7624,-0.0000,2.7624,2.0000,0.1370,+0.0000,0.0000,-0.0000
57,0.88,4.7498,+0.0000,2.7498,2.0000,0.1477,-0.0000,0.0000,-0.0000
