step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.84,6.1771,+0.0808,2.9885,3.1886,1.0520,+0.4490,9.2989,23.5490
1,0.87,5.8337,+0.0808,2.9591,2.8746,1.1791,+0.3787,8.8993,21.3675
2,0.87,5.6988,+0.1937,2.9571,2.7417,0.9035,+0.4506,8.7496,22.2635
3,0.87,5.4479,+0.1379,2.9165,2.5314,0.5859,+0.3645,6.8363,18.0792
4,0.86,5.4154,+0.0979,2.9251,2.4903,0.7174,+0.3231,6.2285,17.7265
5,0.88,5.2884,+0.0117,2.9502,2.3382,0.4236,+0.4101,5.4131,16.7747
6,0.88,5.2592,+0.0134,2.9130,2.3462,0.3700,+0.4467,5.4334,16.0775
7,0.89,5.1471,+0.0313,2.9098,2.2373,0.2956,+0.2741,4.3325,15.6155
8,0.86,5.1226,+0.0139,2.9114,2.2112,0.2433,+0.2137,4.6258,16.7367
9,0.89,5.0943,+0.0249,2.8927,2.2016,0.1838,+0.1858,4.8080,15.2123
10,0.89,5.0896,+0.1007,2.9327,2.1569,0.2368,+0.1408,4.6560,14.1740
11,0.87,5.0305,+0.0559,2.9023,2.1282,0.3116,+0.1342,4.7329,14.0293
12,0.87,4.9756,+0.0438,2.8629,2.1127,0.1445,+0.1708,3.9494,13.4932
13,0.86,4.9959,+0.0207,2.8536,2.1423,0.3625,+0.3111,3.8513,13.3199
14,0.90,4.9262,+0.0062,2.8343,2.0919,0.1354,+0.2279,3.3648,12.4697
15,0.88,4.9181,-0.0705,2.8332,2.0849,0.1236,+0.1990,2.9869,12.2489
16,0.87,4.9186,-0.0484,2.8251,2.0935,0.0900,+0.1560,3.1011,11.7798
17,0.87,4.8388,-0.0436,2.7879,2.0510,0.0765,+0.1775,3.2357,10.8307
18,0.90,4.8651,-0.0083,2.7780,2.0870,0.0930,-0.0357,3.4806,11.2415
19,0.89,4.8581,-0.0223,2.7940,2.0641,0.1632,-0.0878,3.0931,10.9065
20,0.88,4.8315,+0.0169,2.7828,2.0487,0.0920,-0.1501,3.0526,10.4864
21,0.87,4.8402,-0.0127,2.7758,2.0643,0.0441,+0.0464,2.9350,10.9693
22,0.90,4.8642,-0.0166,2.7844,2.0799,0.0496,+0.0062,2.9400,10.9245
23,0.88,4.8710,+0.0327,2.7835,2.0874,0.0963,+0.2299,3.0181,10.2753
24,0.89,4.8287,-0.0422,2.7755,2.0533,0.0682,-0.0309,2.6405,9.7296
25,0.88,4.8563,-0.0211,2.7784,2.0779,0.0570,+0.3045,2.8716,10.2431
26,0.89,4.8268,-0.0343,2.7660,2.0608,0.0477,+0.0793,2.5028,9.4851
27,0.90,4.8286,-0.0280,2.8016,2.0269,0.1235,+0.2127,3.1928,10.0794
28,0.88,4.8016,-0.0141,2.7706,2.0310,0.0533,+0.1298,2.7690,9.4900
29,0.89,4.7782,-0.0074,2.8037,1.9745,0.0519,+0.1313,2.7409,8.3310
30,0.87,4.8224,+0.0069,2.7896,2.0328,0.0697,-0.0591,2.9053,8.8081
31,0.87,4.7788,+0.0256,2.7766,2.0021,0.0496,+0.0271,3.0651,8.3615
32,0.88,4.8161,+0.0154,2.8158,2.0003,0.1052,-0.1383,3.1125,9.0512
33,0.90,4.8427,-0.0150,2.8755,1.9672,0.1478,-0.1941,3.0766,8.7471
34,0.88,4.8309,+0.0261,2.8557,1.9753,0.0523,-0.2957,3.3410,9.3491
35,0.88,4.8043,-0.0152,2.8164,1.9880,0.0561,-0.1817,2.9964,8.5495
36,0.89,4.7660,+0.0172,2.7637,2.0022,0.0613,-0.2532,2.9822,8.0249
37,0.88,4.7867,+0.0087,2.8233,1.9634,0.0584,-0.2556,2.8258,7.9090
38,0.87,4.8004,-0.0007,2.8151,1.9853,0.1810,-0.2444,2.6502,7.8453
39,0.89,4.7699,+0.0220,2.7446,2.0253,0.0323,-0.2093,2.6270,8.0396
40,0.88,4.7819,-0.0137,2.7136,2.0683,0.0439,-0.2780,2.7896,7.9489
41,0.87,4.7840,-0.0301,2.7442,2.0398,0.0490,-0.2710,3.1290,8.4390
42,0.89,4.7876,-0.0092,2.7240,2.0635,0.0462,-0.3486,2.9224,8.1457
43,0.89,4.7964,+0.0251,2.7489,2.0475,0.0772,-0.3495,2.9929,7.6969
44,0.90,4.7689,-0.0215,2.7004,2.0684,0.0417,-0.3943,2.6065,7.4179
45,0.88,4.7803,+0.0350,2.7382,2.0421,0.0426,-0.4619,2.4847,7.7960
46,0.89,4.7646,-0.0194,2.7119,2.0526,0.0237,-0.3577,2.2709,7.4376
47,0.88,4.7499,+0.0000,2.7010,2.0490,0.0268,-0.4424,2.5017,6.6273
48,0.88,4.7570,-0.0146,2.7099,2.0471,0.0359,-0.2274,2.3326,6.4035
49,0.89,4.7380,-0.0121,2.7070,2.0310,0.0311,-0.3226,2.2653,6.0891
50,0.88,4.7488,+0.0115,2.7193,2.0295,0.0282,-0.3266,2.4470,6.1528
51,0.91,4.7588,+0.0238,2.7404,2.0184,0.0405,-0.1622,1.9771,5.6798
52,0.89,4.7502,-0.0264,2.7372,2.0130,0.0345,-0.2137,2.1310,5.7700
53,0.88,4.7537,+0.0070,2.7307,2.0230,0.0312,-0.1400,2.2864,6.0049
54,0.87,4.7650,-0.0156,2.7868,1.9782,0.0336,-0.1592,2.5689,6.1762
55,0.87,4.7923,-0.0092,2.7669,2.0254,0.0445,-0.1815,2.5122,6.6911
56,0.88,4.7074,-0.0310,2.7661,1.9413,0.2604,-0.5147,0.7276,3.4381
57,0.88,4.7615,-0.0126,2.7890,1.9725,0.0676,-0.0428,1.5464,5.0905
58,0.86,4.8008,-0.0118,2.7680,2.0328,0.0627,-0.0696,2.0303,5.4878
59,0.87,4.7247,-0.0091,2.7213,2.0034,0.0228,-0.1480,1.7610,4.7609
60,0.87,4.7565,-0.0190,2.7051,2.0514,0.0260,-0.0428,2.0234,5.4940
61,0.87,4.7359,+0.0049,2.6927,2.0431,0.0132,+0.0099,2.0131,5.4162
62,0.90,4.7634,-0.0010,2.7393,2.0241,0.0230,-0.0332,2.1050,5.4144
63,0.90,4.7408,+0.0178,2.7418,1.9990,0.0188,-0.1102,1.8295,5.0393
64,0.88,4.7295,+0.0038,2.7371,1.9924,0.0234,-0.0810,1.8053,4.7844
65,0.89,4.7393,+0.0285,2.7347,2.0046,0.0258,-0.0061,1.8813,5.2747
66,0.90,4.7608,-0.0126,2.7439,2.0169,0.0222,-0.0487,2.0364,5.6873
67,0.88,4.7452,+0.0180,2.7241,2.0211,0.0250,-0.1661,1.7846,4.6867
68,0.89,4.7416,+0.0006,2.7204,2.0211,0.0224,-0.1802,2.0957,5.5457
69,0.87,4.7624,+0.0038,2.7567,2.0057,0.0238,-0.2068,1.9734,5.4489
70,0.89,4.7541,+0.0063,2.7629,1.9912,0.0344,-0.1396,1.9310,4.9333
71,0.88,4.7475,-0.0230,2.7261,2.0214,0.0261,-0.1315,1.9738,5.5347
72,0.89,4.7492,-0.0034,2.7063,2.0428,0.0233,-0.1292,1.8128,5.4265
73,0.87,4.7487,-0.0111,2.7363,2.0124,0.0216,-0.1779,1.5820,4.8909
74,0.88,4.7554,+0.0014,2.7270,2.0284,0.0215,-0.0179,1.7686,5.2692
75,0.89,4.7333,-0.0076,2.7138,2.0196,0.0186,-0.0477,1.7467,5.3257
76,0.88,4.7400,-0.0020,2.7092,2.0309,0.0271,-0.0940,1.9926,5.5107
77,0.86,4.7559,-0.0080,2.7454,2.0105,0.0253,-0.2169,2.0455,5.8001
78,0.90,4.7524,-0.0078,2.7356,2.0168,0.0689,-0.2763,1.8790,5.2553
79,0.90,4.7173,-0.0136,2.6951,2.0222,0.0226,-0.3416,2.4607,6.0626
80,0.90,4.7408,+0.0027,2.7470,1.9938,0.0184,-0.3280,2.1466,5.8534
81,0.90,4.7488,+0.0011,2.7562,1.9926,0.0237,-0.3564,2.2658,5.7409
82,0.87,4.7869,+0.0065,2.8065,1.9804,0.0617,-0.5114,2.5179,5.9629
83,0.88,4.8019,+0.0227,2.8022,1.9997,0.0587,-0.2777,1.9559,5.2774
84,0.86,4.7638,+0.0010,2.7942,1.9696,0.0711,-0.3611,1.6992,4.4771
85,0.86,4.7641,+0.0156,2.7750,1.9891,0.0610,-0.3700,1.8607,5.0690
86,0.89,4.7335,+0.0112,2.7169,2.0166,0.0359,-0.2724,1.8109,4.4470
87,0.89,4.7508,-0.0061,2.7692,1.9817,0.0532,-0.2731,2.0208,5.0047
88,0.89,4.7621,+0.0051,2.7327,2.0294,0.0269,-0.3844,2.0815,5.2679
89,0.88,4.7574,-0.0048,2.7121,2.0453,0.0173,-0.2925,1.7545,5.0884
90,0.88,4.7422,+0.0153,2.7263,2.0159,0.0241,-0.2107,1.5045,4.9069
91,0.88,4.7622,-0.0170,2.7484,2.0139,0.0264,-0.2733,1.6758,5.0454
92,0.88,4.7259,-0.0042,2.6982,2.0277,0.0218,-0.2913,1.7762,5.0935
93,0.87,4.7327,-0.0026,2.7012,2.0315,0.0238,-0.3519,1.7905,5.0460
94,0.87,4.7427,+0.0035,2.6845,2.0582,0.0152,-0.1995,1.6128,4.8702
95,0.87,4.7465,-0.0070,2.7188,2.0277,0.0330,-0.1705,1.2154,4.2428
96,0.87,4.7323,+0.0089,2.6956,2.0366,0.0110,-0.1024,1.1880,4.4951
97,0.88,4.7520,-0.0110,2.7398,2.0122,0.0331,-0.0877,1.0315,3.9483
98,0.89,4.7722,+0.0064,2.7727,1.9995,0.0253,-0.0598,1.0569,4.2425
99,0.89,4.7522,-0.0011,2.7391,2.0131,0.0262,-0.1359,1.2277,4.3204
100,0.89,4.7417,-0.0080,2.7090,2.0327,0.0152,-0.0301,1.5870,5.0281
101,0.87,4.7794,+0.0144,2.7550,2.0244,0.0312,+0.0214,1.2649,4.5078
102,0.89,4.7244,-0.0164,2.7221,2.0023,0.0208,+0.0636,1.0668,3.4055
103,0.89,4.7613,+0.0030,2.7664,1.9949,0.0287,+0.0125,1.4507,4.1106
104,0.88,4.7256,-0.0080,2.7240,2.0016,0.0335,-0.1100,1.3448,4.3526
105,0.88,4.7557,+0.0071,2.7627,1.9930,0.0355,-0.0596,1.5152,4.5333
106,0.88,4.7732,-0.0017,2.7459,2.0273,0.0378,-0.1829,1.2609,4.3669
107,0.86,4.7075,-0.0142,2.7204,1.9870,0.0452,-0.2460,1.1111,3.7974
108,0.88,4.7676,-0.0015,2.7309,2.0367,0.0218,-0.1395,1.4016,4.3846
109,0.88,4.7405,-0.0035,2.7234,2.0171,0.0358,-0.0908,0.9474,3.4742
110,0.90,4.7184,-0.0119,2.7054,2.0130,0.0151,-0.0303,1.2665,4.4607
111,0.87,4.7111,+0.0059,2.7133,1.9979,0.0174,-0.0961,1.1429,4.6144
112,0.89,4.7165,-0.0105,2.7165,2.0000,0.0180,+0.0391,1.0499,4.4552
113,0.89,4.7259,+0.0052,2.7498,1.9761,0.0657,+0.1319,0.9666,3.9751
114,0.89,4.7653,+0.0034,2.7086,2.0567,0.0739,-0.0865,1.3770,4.7338
115,0.87,4.7615,+0.0037,2.7188,2.0427,0.0295,+0.0748,0.9026,4.1029
116,0.89,4.7520,+0.0127,2.7010,2.0510,0.0321,-0.0711,0.9924,4.7010
117,0.87,4.7484,+0.0107,2.6798,2.0686,0.0173,+0.0399,1.1046,4.6901
118,0.90,4.7414,-0.0110,2.7023,2.0391,0.0268,+0.1295,0.5399,3.5579
119,0.88,4.7280,+0.0035,2.6948,2.0332,0.0163,+0.0466,0.9297,4.2970
120,0.89,4.7366,-0.0018,2.7123,2.0242,0.0183,+0.0873,1.2484,4.6391
121,0.87,4.7218,+0.0082,2.7040,2.0178,0.0096,+0.0041,1.1711,4.6351
122,0.89,4.7067,+0.0097,2.6778,2.0289,0.0095,-0.0380,1.0968,4.4938
123,0.88,4.7327,+0.0084,2.6860,2.0467,0.0146,-0.1119,0.9744,4.3227
124,0.90,4.7331,+0.0075,2.7026,2.0305,0.0138,-0.0083,0.9433,4.3322
125,0.88,4.7233,-0.0102,2.7160,2.0073,0.0147,+0.1922,1.1512,4.2224
126,0.89,4.7516,+0.0032,2.7298,2.0217,0.0237,+0.0458,0.9957,4.5309
127,0.86,4.7593,+0.0068,2.7239,2.0354,0.1266,+0.0255,1.3078,5.0690
128,0.89,4.7586,+0.0066,2.7346,2.0240,0.0377,+0.0656,1.1665,4.9959
129,0.86,4.7463,-0.0190,2.7589,1.9875,0.0551,+0.1017,0.9385,4.6697
130,0.89,4.7682,-0.0092,2.7458,2.0224,0.0398,+0.1031,1.2940,4.7906
131,0.89,4.7263,-0.0148,2.6888,2.0375,0.0110,+0.0818,1.2868,4.6863
132,0.86,4.7457,+0.0030,2.7103,2.0354,0.0315,+0.1160,1.3296,4.7161
