step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.71,6.7741,+0.3770,2.5313,4.2428,9.5558,+0.0166,0.1002,9.3581
1,0.77,9.2330,-3.2588,2.5222,6.7108,649.9132,-0.0023,0.2956,21.3031
2,0.76,72.6876,+61.6334,2.5289,70.1587,403745.6875,+0.0169,0.0556,340.5661
3,0.74,7.4902,+1.0491,2.5265,4.9637,113.5813,+0.0625,0.0965,13.3347
4,0.70,6.2939,-0.3439,2.5383,3.7556,3.2588,-0.0207,0.1742,8.5657
5,0.72,6.2401,-0.0991,2.5268,3.7133,3.0399,+0.0323,0.2186,7.9199
6,0.74,11.7950,+0.3973,2.5237,9.2713,1156.5647,-0.0590,0.2641,36.4713
7,0.72,6.5341,-0.1164,2.5204,4.0137,5.4140,-0.0382,0.1899,8.9695
8,0.76,6.7873,-0.0054,2.5256,4.2617,24.7415,-0.0875,0.2438,10.5740
9,0.75,6.4174,-0.0516,2.5215,3.8959,11.1938,-0.0590,0.1775,8.1098
10,0.74,6.4678,+0.1007,2.5417,3.9261,12.9404,-0.0422,0.1826,8.9155
11,0.75,6.6515,+0.0005,2.5538,4.0977,16.4427,-0.0050,0.2355,8.4104
12,0.74,6.2942,+0.2804,2.5503,3.7439,10.8251,-0.0325,0.2237,8.5865
13,0.74,6.1399,-0.9097,2.5567,3.5832,5.7140,-0.0563,0.2749,6.1351
14,0.75,7.2726,+0.6734,2.5500,4.7226,109.1702,-0.0747,0.2256,12.4901
15,0.73,6.0933,+0.3755,2.5507,3.5426,3.1622,-0.1139,0.2311,7.1305
16,0.74,7.1756,+0.0847,2.5541,4.6215,113.3642,-0.0576,0.1160,11.9917
17,0.73,7.4482,+1.6981,2.5552,4.8930,114.7577,-0.1089,0.1686,13.7382
18,0.73,30.7045,+5.6768,2.5468,28.1577,54239.7188,-0.0378,0.0957,124.7662
19,0.71,6.6072,-0.3103,2.5510,4.0562,15.5785,-0.0406,0.1451,9.9377
20,0.73,7.0153,+0.0245,2.5459,4.4694,32.3146,-0.0242,-0.0525,12.3003
21,0.73,9.2134,+6.2900,2.5266,6.6868,537.5656,-0.0156,0.1839,23.2754
22,0.75,6.6545,-0.0853,2.5304,4.1241,12.2461,-0.0200,0.2248,10.2298
23,0.72,6.2725,+2.2574,2.5261,3.7464,4.9752,-0.0525,0.3568,7.7307
24,0.72,7.4464,-0.2517,2.5356,4.9108,88.7264,-0.0432,0.2735,12.9987
25,0.76,8.1222,+1.2110,2.5399,5.5823,261.4090,+0.0491,0.4173,18.5344
26,0.75,6.2945,+0.5871,2.5417,3.7529,15.6826,-0.0188,0.4134,8.2319
27,0.73,7.2291,+0.2014,2.5425,4.6866,59.2569,+0.1003,0.5008,14.1039
28,0.74,8.2711,-0.2494,2.5448,5.7263,413.1682,+0.1700,0.1012,18.3592
29,0.74,6.7877,-0.1490,2.5346,4.2532,16.9109,+0.0617,0.1914,10.9479
30,0.74,10.5091,+1.8134,2.5311,7.9780,873.7779,+0.0702,0.3116,23.8324
31,0.69,6.4324,-0.3553,2.5217,3.9107,9.9465,-0.0136,0.3005,9.4624
32,0.75,6.2427,-0.1826,2.5340,3.7087,4.4632,+0.0006,0.3326,8.2926
33,0.72,6.7556,+0.7577,2.5265,4.2291,21.3821,+0.0261,0.2303,10.8911
34,0.70,12.0558,+3.3564,2.5500,9.5058,2417.4895,-0.0426,0.2728,37.2239
35,0.73,6.7537,-2.7676,2.5420,4.2118,37.0514,+0.0024,0.3919,11.3312
36,0.73,6.3434,+0.0306,2.5367,3.8067,11.1001,-0.0604,0.2448,8.4684
37,0.73,6.6982,-0.1441,2.5388,4.1594,48.4532,-0.0251,0.1710,10.0794
38,0.72,8.3674,+0.6077,2.5537,5.8137,334.5296,-0.0671,0.2879,19.3011
39,0.71,6.6871,-0.3407,2.5511,4.1360,20.7242,-0.0443,0.3452,10.2765
40,0.70,6.1637,-0.0171,2.5505,3.6132,3.9725,+0.0142,0.3902,7.1409
41,0.73,6.2790,+0.0473,2.5590,3.7200,14.6482,+0.0132,0.3081,8.5232
42,0.73,6.9213,-0.2688,2.5442,4.3771,57.0360,-0.0768,0.3101,11.7992
43,0.75,5.8585,-0.0011,2.5456,3.3129,1.7214,+0.0042,0.2855,6.4123
44,0.73,6.3944,+0.5455,2.5516,3.8428,8.1100,+0.0255,0.2279,7.9871
45,0.72,6.2867,+0.0983,2.5468,3.7400,5.1140,-0.0168,0.4369,8.0811
46,0.73,6.9429,+0.1320,2.5523,4.3906,24.8749,+0.0480,0.3622,11.8619
47,0.74,7.1942,+0.0905,2.5465,4.6477,25.0553,-0.0180,0.5131,12.9323
48,0.73,6.7738,-0.8920,2.5522,4.2217,398.7014,+0.0529,0.3087,8.5931
49,0.72,6.3445,+0.1946,2.5475,3.7970,4.3092,+0.0165,0.2215,8.6640
50,0.73,9.0541,+2.1278,2.5614,6.4926,448.5321,-0.0476,0.3779,22.5173
51,0.72,6.7223,+0.2568,2.5489,4.1735,14.7555,+0.0173,0.3257,10.7507
52,0.74,6.4307,-0.7214,2.5454,3.8853,10.0401,+0.0115,0.2954,9.9596
53,0.75,6.2788,+0.1555,2.5494,3.7294,12.7951,-0.0493,0.2627,7.9401
54,0.73,7.3127,+0.8219,2.5436,4.7691,115.4695,+0.0528,0.2744,12.4962
55,0.70,6.4076,-0.0774,2.5245,3.8832,15.1178,+0.0461,0.1869,8.5953
56,0.74,7.5816,-0.0017,2.5474,5.0342,64.4501,+0.0870,0.2189,14.2245
57,0.75,7.2998,+0.2776,2.5457,4.7541,69.9574,+0.0820,0.2020,14.0371
58,0.76,6.4750,-0.4818,2.5291,3.9459,48.6709,+0.0555,0.2789,8.3167
59,0.73,6.9972,+0.4243,2.5475,4.4498,38.4327,-0.1288,0.2451,10.4515
60,0.73,8.5917,+0.2676,2.5571,6.0347,148.3305,+0.0048,0.2070,19.2996
61,0.72,7.6382,-0.0283,2.5493,5.0888,84.2623,+0.0331,0.2015,13.9495
62,0.72,8.6254,-1.0267,2.5343,6.0911,290.3678,+0.0114,0.2193,13.6136
63,0.73,8.0355,+0.2120,2.5190,5.5165,119.4704,-0.0117,0.2753,15.8834
64,0.73,7.8940,-0.3976,2.5257,5.3683,78.1126,-0.0669,0.2479,14.9548
65,0.76,6.6209,+0.6196,2.5211,4.0998,10.5453,-0.0727,0.2007,8.1648
66,0.74,7.2444,+0.0318,2.5386,4.7058,42.3936,-0.0800,0.0793,11.9861
67,0.73,6.7017,+0.3779,2.5461,4.1555,11.7427,-0.0119,0.0352,9.2910
68,0.72,8.5525,+0.0630,2.5371,6.0154,253.1071,-0.0052,0.1162,18.5810
69,0.73,8.8987,+1.4027,2.5195,6.3792,379.0956,+0.0530,0.1316,19.2547
70,0.72,12.5520,+0.5078,2.5230,10.0290,1389.6019,-0.0672,0.2822,37.4538
71,0.68,7.5281,-0.5610,2.5196,5.0085,52.5483,+0.0449,0.1177,11.9412
72,0.72,7.7050,-0.6641,2.5385,5.1666,149.1713,+0.0203,0.1306,15.7860
73,0.71,6.3828,-0.3774,2.5425,3.8403,11.3684,+0.0253,0.1979,7.7693
74,0.71,7.4710,-1.3109,2.5366,4.9344,62.1460,-0.0163,0.1369,14.9158
75,0.71,6.6170,+0.1204,2.5413,4.0758,14.0097,-0.0132,0.1031,10.6953
76,0.70,7.6153,+0.5943,2.5516,5.0637,55.9711,-0.0458,0.2522,13.1115
77,0.69,10.2913,-15.1522,2.5429,7.7484,1214.0387,-0.0872,0.3220,30.8195
78,0.68,8.4613,+0.8504,2.5559,5.9054,146.0013,-0.0445,0.1672,18.3628
79,0.72,6.8695,+0.2456,2.5552,4.3142,8.8827,+0.0048,0.2106,11.3305
80,0.68,8.5690,-0.3178,2.5573,6.0117,159.7137,+0.0205,0.1667,19.4936
81,0.74,8.5413,-1.9732,2.5568,5.9846,271.8016,-0.0016,0.1524,19.4070
82,0.72,7.2213,+0.0752,2.5392,4.6820,32.7519,-0.0500,0.1559,12.7635
83,0.74,6.9868,+0.4510,2.5405,4.4463,22.9057,-0.0435,0.2087,12.5640
84,0.72,7.2184,+0.0843,2.5412,4.6772,23.1042,-0.1031,0.1846,12.4835
85,0.73,6.4025,+0.6416,2.5320,3.8705,82.8808,-0.0529,0.1454,8.0889
86,0.72,6.5326,-0.1017,2.5344,3.9982,747.4841,+0.0146,0.2444,10.0963
87,0.73,7.0745,+0.5350,2.5310,4.5435,71.6645,-0.0230,0.2790,11.4117
88,0.72,6.6394,-0.0199,2.5415,4.0979,12.3749,+0.0520,0.2511,7.7352
89,0.71,6.2868,+0.5759,2.5549,3.7319,16.9225,-0.0973,0.3798,9.3485
90,0.74,6.0919,+0.1659,2.5560,3.5359,4.7182,-0.1078,0.3671,7.2349
91,0.71,6.6327,-0.7157,2.5285,4.1042,8.9154,-0.0676,0.1237,8.9780
92,0.75,6.1418,+0.1793,2.5218,3.6201,4.4592,-0.0930,0.0560,6.8824
93,0.71,6.3222,+0.4199,2.5341,3.7881,17.5500,-0.0899,0.1424,7.9729
94,0.74,6.9121,+1.1417,2.5267,4.3853,21.6511,-0.0347,0.0343,10.9496
95,0.70,7.3067,+0.6391,2.5323,4.7744,39.9089,-0.0139,0.0011,13.6279
96,0.71,6.7090,+0.1726,2.5425,4.1664,41.1378,-0.0381,0.0936,11.5808
97,0.74,7.3221,+0.3531,2.5200,4.8021,73.6221,-0.1059,0.0724,12.8532
98,0.73,11.7862,+0.4224,2.5325,9.2537,2109.9009,-0.0602,0.0280,37.1891
99,0.69,7.4027,+0.3972,2.5363,4.8664,69.2417,-0.1074,0.2159,11.8822
100,0.73,9.8577,+1.1534,2.5274,7.3303,1148.2212,-0.1300,0.2819,24.6440
101,0.75,7.7339,+0.3664,2.5453,5.1886,48.6284,-0.0797,0.2861,15.3307
102,0.74,6.3388,+0.0966,2.5431,3.7958,5.2248,-0.0302,0.2306,8.8705
103,0.72,8.3335,+0.2688,2.5309,5.8026,246.2986,-0.0495,0.2890,18.9360
104,0.72,8.5951,+2.6504,2.5303,6.0648,282.0648,-0.0790,0.2649,17.1388
105,0.69,6.7219,+0.1228,2.5367,4.1852,12.2111,-0.0243,0.1504,9.7521
106,0.71,6.4229,+0.3074,2.5337,3.8892,9.8678,-0.0532,0.2982,8.1432
107,0.71,6.5061,+0.0807,2.5303,3.9758,4.6864,-0.0491,0.2913,8.4004
108,0.74,7.8717,+2.6151,2.5268,5.3448,183.3959,+0.0034,0.3371,14.1136
109,0.74,6.9675,+0.0592,2.5374,4.4301,18.7425,-0.0604,0.3903,11.2477
110,0.71,7.7045,+0.8922,2.5422,5.1622,65.9738,-0.0103,0.3625,13.4303
111,0.71,8.2127,+0.8713,2.5365,5.6763,84.6440,+0.0228,0.3858,16.3028
112,0.75,7.6168,+0.6868,2.5442,5.0727,51.4193,-0.0469,0.2831,14.9771
113,0.71,7.3724,+1.5109,2.5422,4.8302,34.4523,-0.0295,0.3375,12.7553
114,0.72,6.8082,+0.3882,2.5498,4.2584,17.2768,-0.0148,0.1001,9.6693
115,0.73,7.0899,+0.4752,2.5449,4.5449,13.9870,+0.0102,0.1645,10.7548
116,0.72,9.7920,+0.8166,2.5548,7.2372,460.4930,+0.0112,0.0977,25.0927
