step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.84,4.6520,+0.0133,2.1910,2.4610,0.4123,-0.0793,20.1324,66.5828
1,0.84,4.5286,+0.0218,2.2021,2.3264,0.2875,-0.2250,18.3137,63.2199
2,0.83,4.5067,+0.0084,2.2063,2.3004,0.2807,-0.2060,19.4948,64.6023
3,0.85,4.4201,-0.0255,2.1941,2.2260,0.2267,-0.1461,18.8616,63.5505
4,0.85,4.3746,+0.0111,2.1765,2.1980,0.1891,-0.2132,19.2210,63.7555
5,0.85,4.3207,+0.0197,2.1710,2.1497,0.2029,-0.3392,17.7681,59.5873
6,0.83,4.2746,+0.0159,2.1677,2.1069,0.1590,-0.4884,16.2475,57.1057
7,0.84,4.2791,+0.0073,2.1856,2.0936,0.1512,-0.5547,16.7811,56.5224
8,0.85,4.2478,+0.0145,2.1730,2.0748,0.1323,-0.5939,15.7093,54.5343
9,0.85,4.2030,-0.0028,2.1521,2.0509,0.1154,-0.6942,14.7103,49.4219
10,0.84,4.1872,+0.0030,2.1242,2.0629,0.0993,-0.5420,14.9847,47.5568
11,0.84,4.1665,-0.0146,2.1312,2.0353,0.0919,-0.4941,13.6699,44.2965
12,0.85,4.1395,-0.0018,2.1047,2.0348,0.0752,-0.5140,13.4917,42.0460
13,0.84,4.1200,-0.0089,2.0917,2.0283,0.0692,-0.4448,12.2435,39.5261
14,0.84,4.1029,-0.0026,2.0819,2.0210,0.0580,-0.3755,11.3869,37.2048
15,0.85,4.1038,+0.0126,2.0829,2.0209,0.0573,-0.4170,11.7992,36.9747
16,0.85,4.1151,+0.0062,2.0916,2.0235,0.0564,-0.5605,11.1064,36.3720
17,0.84,4.1050,+0.0212,2.0736,2.0313,0.0631,-0.4840,10.5762,34.9389
18,0.84,4.1115,+0.0057,2.0817,2.0297,0.0713,-0.5715,10.5412,33.7264
19,0.84,4.0682,+0.0115,2.0644,2.0038,0.0512,-0.4820,10.0017,31.5652
20,0.84,4.0927,+0.0099,2.0673,2.0254,0.0733,-0.4246,10.1320,31.2641
21,0.84,4.0759,+0.0051,2.0476,2.0283,0.0530,-0.4302,10.1278,30.3328
22,0.84,4.0537,+0.0041,2.0549,1.9988,0.0637,-0.4240,8.8845,28.6680
23,0.83,4.0396,+0.0041,2.0424,1.9972,0.0377,-0.3147,8.8203,28.7514
24,0.84,4.0420,-0.0006,2.0346,2.0074,0.0484,-0.2034,7.9680,26.7402
25,0.84,4.0452,-0.0019,2.0334,2.0118,0.0462,-0.1834,7.5678,25.6837
26,0.83,4.0353,+0.0026,2.0211,2.0142,0.0449,-0.1047,7.5090,25.2187
27,0.84,4.0408,+0.0017,2.0425,1.9983,0.0633,-0.1358,7.1379,23.0337
28,0.85,4.0409,+0.0036,2.0151,2.0258,0.0669,-0.2376,6.9645,22.8496
29,0.84,4.0309,-0.0014,2.0012,2.0298,0.0579,-0.1907,5.9112,22.3288
30,0.84,4.0300,-0.0026,1.9947,2.0352,0.0338,-0.1505,6.6444,23.1554
31,0.85,4.0174,-0.0003,1.9954,2.0221,0.0360,-0.1705,6.9011,22.5477
32,0.83,4.0171,-0.0037,1.9949,2.0223,0.0462,-0.2592,5.9803,21.4746
33,0.84,4.0163,-0.0002,1.9956,2.0208,0.0475,-0.1578,5.5760,20.7335
34,0.84,4.0099,-0.0035,1.9819,2.0280,0.0278,-0.1733,5.9445,20.5167
35,0.84,3.9948,+0.0080,1.9792,2.0155,0.0359,-0.1687,5.7709,19.9063
36,0.84,3.9950,-0.0055,1.9812,2.0137,0.0395,-0.0751,5.7975,19.5566
37,0.84,3.9978,-0.0100,1.9774,2.0204,0.0295,-0.0093,5.8184,18.8192
38,0.84,3.9958,-0.0161,1.9643,2.0316,0.0237,+0.0598,5.2160,18.5479
39,0.82,3.9970,-0.0114,1.9593,2.0377,0.0306,+0.0454,4.7660,17.5165
40,0.83,3.9864,-0.0036,1.9568,2.0297,0.0322,+0.1698,4.5399,16.9238
41,0.85,3.9823,+0.0021,1.9495,2.0328,0.0232,+0.2133,4.4318,16.6155
42,0.84,3.9806,+0.0027,1.9602,2.0204,0.0356,+0.2579,4.7330,16.0749
43,0.84,3.9848,+0.0053,1.9536,2.0312,0.0294,+0.3393,4.9111,16.5572
44,0.84,3.9915,-0.0015,1.9695,2.0220,0.0640,+0.3501,4.6122,16.3989
45,0.83,3.9853,-0.0033,1.9733,2.0120,0.0467,+0.2747,4.6386,16.3786
46,0.84,3.9850,+0.0059,1.9569,2.0281,0.0270,+0.3247,4.6314,16.7811
47,0.83,3.9766,+0.0006,1.9494,2.0272,0.0205,+0.2749,4.2935,15.5364
48,0.84,3.9652,-0.0014,1.9524,2.0129,0.0227,+0.2089,4.3511,15.6326
49,0.84,3.9854,-0.0075,1.9569,2.0285,0.0252,+0.2308,4.5893,16.2915
50,0.84,3.9939,-0.0023,1.9655,2.0284,0.0333,+0.3039,4.5941,16.1973
51,0.84,3.9882,+0.0038,1.9511,2.0371,0.0184,+0.1723,4.4895,16.3431
52,0.85,3.9908,+0.0109,1.9528,2.0380,0.0262,+0.2200,4.1164,15.8140
53,0.84,3.9805,+0.0133,1.9460,2.0345,0.0248,+0.1878,4.0933,15.7029
54,0.84,3.9932,+0.0144,1.9522,2.0410,0.0263,+0.2435,4.1077,16.5803
55,0.83,3.9864,+0.0093,1.9481,2.0382,0.0202,+0.1239,4.0654,16.0677
56,0.85,3.9842,+0.0066,1.9527,2.0315,0.0269,+0.1128,3.9603,15.6831
57,0.84,3.9743,+0.0115,1.9456,2.0287,0.0172,+0.1206,4.0367,15.0691
58,0.83,3.9737,+0.0058,1.9448,2.0290,0.0333,+0.0936,4.1084,15.3383
59,0.83,3.9780,+0.0077,1.9495,2.0285,0.0411,+0.0759,4.3143,15.7289
60,0.84,3.9802,-0.0027,1.9446,2.0356,0.0273,+0.2165,4.1351,16.4320
61,0.83,3.9719,-0.0012,1.9402,2.0317,0.0211,+0.2084,4.2356,15.3361
62,0.83,3.9709,-0.0079,1.9362,2.0347,0.0176,+0.1784,4.7877,15.2790
63,0.84,3.9756,+0.0151,1.9382,2.0374,0.0255,+0.2112,4.4197,14.8976
64,0.84,3.9690,+0.0028,1.9389,2.0300,0.0263,+0.2299,4.3658,14.6040
65,0.82,3.9789,+0.0048,1.9389,2.0400,0.0279,+0.1618,4.2555,15.4583
66,0.84,3.9674,+0.0036,1.9429,2.0245,0.0213,+0.1890,4.1800,15.0247
67,0.83,3.9692,+0.0044,1.9558,2.0134,0.0332,+0.2705,4.1539,14.8428
68,0.84,3.9608,+0.0037,1.9419,2.0189,0.0370,+0.1826,4.1589,14.7076
69,0.84,3.9560,+0.0123,1.9342,2.0218,0.0197,+0.1419,3.7625,14.1090
70,0.85,3.9765,+0.0041,1.9384,2.0381,0.0213,+0.2509,4.3612,15.2609
71,0.83,3.9716,+0.0103,1.9437,2.0279,0.0184,+0.1913,4.1373,15.0324
72,0.84,3.9735,+0.0059,1.9395,2.0340,0.0147,+0.2342,4.3769,15.5898
73,0.84,3.9695,+0.0019,1.9350,2.0344,0.0170,+0.1760,3.7806,14.4593
74,0.84,3.9727,-0.0022,1.9347,2.0380,0.0183,+0.1546,4.2105,15.0109
75,0.84,3.9653,-0.0038,1.9251,2.0402,0.0231,+0.1418,3.6447,13.8583
76,0.84,3.9689,+0.0055,1.9362,2.0327,0.0241,+0.2110,3.9350,14.5608
77,0.83,3.9603,+0.0056,1.9239,2.0364,0.0217,+0.0874,3.5933,13.8932
78,0.84,3.9612,+0.0003,1.9272,2.0340,0.0254,-0.0178,3.7060,14.1155
79,0.83,3.9648,+0.0007,1.9314,2.0335,0.0178,+0.0480,3.6576,14.7859
80,0.83,3.9621,-0.0041,1.9434,2.0187,0.0233,-0.0729,3.5108,14.4447
81,0.84,3.9695,-0.0009,1.9383,2.0312,0.0255,+0.0108,3.5318,13.9944
82,0.83,3.9621,-0.0001,1.9322,2.0299,0.0215,-0.0425,3.6363,13.8403
83,0.84,3.9598,-0.0026,1.9306,2.0292,0.0159,-0.0503,3.6603,13.6023
84,0.83,3.9682,-0.0017,1.9395,2.0286,0.0181,-0.1268,4.0035,14.2845
85,0.83,3.9654,+0.0022,1.9546,2.0108,0.0512,-0.1835,3.8289,13.8449
86,0.84,3.9668,+0.0065,1.9352,2.0316,0.0258,-0.3130,3.6526,13.5846
87,0.85,3.9661,+0.0000,1.9381,2.0280,0.0205,-0.2627,3.4311,13.4865
88,0.83,3.9593,-0.0021,1.9377,2.0216,0.0262,-0.2408,3.3430,13.0904
89,0.83,3.9758,+0.0040,1.9356,2.0402,0.0215,-0.1536,3.7659,13.4642
90,0.83,3.9683,+0.0044,1.9317,2.0365,0.0177,-0.1788,3.5811,12.6691
91,0.83,3.9719,+0.0087,1.9398,2.0321,0.0282,-0.1093,3.7650,13.3407
92,0.85,3.9664,+0.0097,1.9284,2.0381,0.0165,-0.2244,4.1845,13.3964
93,0.84,3.9639,+0.0019,1.9375,2.0264,0.0256,-0.1464,3.8661,12.9636
94,0.85,3.9662,+0.0009,1.9361,2.0301,0.0241,-0.0733,3.6484,12.4653
95,0.85,3.9667,+0.0047,1.9339,2.0328,0.0341,-0.0782,3.6529,12.6923
96,0.84,3.9502,+0.0047,1.9358,2.0144,0.0204,-0.0712,3.5558,12.3919
97,0.84,3.9418,+0.0018,1.9314,2.0104,0.0197,+0.0542,3.3281,12.0415
