step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
65,0.83,3.9920,+0.0004,1.9775,2.0145,0.0336,-0.1348,5.8553,19.4882
66,0.83,4.0184,+0.0074,1.9795,2.0389,0.0282,-0.1313,6.2211,19.5608
67,0.83,4.0122,-0.0268,2.0040,2.0082,0.0159,-0.1521,5.9935,19.1520
68,0.84,4.0055,+0.0002,1.9722,2.0333,0.0233,-0.0513,6.0004,17.8906
69,0.86,4.0390,+0.0079,2.0105,2.0285,0.0384,-0.2203,8.2442,20.6881
70,0.86,4.0213,+0.0034,1.9970,2.0242,0.0356,-0.0630,6.3134,21.1752
71,0.84,4.0635,+0.0122,2.0684,1.9951,0.1239,-0.2407,7.4806,21.4887
72,0.84,3.9911,+0.0046,1.9877,2.0035,0.0658,-0.1032,6.9671,20.6962
73,0.86,4.0168,+0.0091,1.9903,2.0265,0.0425,-0.2675,5.6268,20.8971
74,0.85,4.0302,+0.0397,1.9661,2.0641,0.0283,-0.4946,6.7159,22.2379
75,0.86,3.9855,+0.0128,1.9681,2.0174,0.0361,-0.2849,5.5357,20.8833
76,0.83,4.0041,+0.0161,1.9647,2.0394,0.0192,-0.1679,6.5627,20.6236
77,0.82,4.0076,+0.0153,1.9820,2.0256,0.0164,-0.1017,6.5819,19.8444
78,0.85,3.9997,+0.0098,1.9896,2.0102,0.0173,-0.0349,6.7495,20.9090
79,0.84,4.0051,+0.0163,1.9689,2.0361,0.0167,-0.0134,6.7719,20.8383
80,0.84,4.0104,-0.0043,1.9816,2.0287,0.0205,-0.1512,6.1731,20.5970
81,0.84,4.0397,-0.0130,2.0045,2.0352,0.0295,+0.1889,6.6654,20.7623
82,0.82,4.0436,-0.0081,2.0285,2.0151,0.0256,-0.0141,6.7054,21.1138
83,0.84,4.0416,-0.0132,1.9868,2.0548,0.0135,-0.1814,6.1212,21.2142
84,0.85,4.0286,-0.0346,1.9720,2.0567,0.0209,+0.0112,5.7903,21.0435
85,0.82,4.0493,-0.0038,2.0112,2.0381,0.0197,-0.1014,6.2003,22.2254
86,0.83,4.0640,-0.0125,2.0326,2.0314,0.0447,-0.3624,7.2769,24.9201
87,0.84,4.0130,-0.0137,1.9906,2.0224,0.0327,-0.4155,6.2538,23.7236
88,0.84,4.0140,+0.0098,1.9735,2.0405,0.0206,-0.2711,6.2734,22.3248
89,0.85,4.0070,+0.0005,1.9907,2.0163,0.0309,-0.2825,6.1582,22.5212
90,0.83,4.0128,-0.0046,1.9976,2.0152,0.0327,-0.2000,5.5547,20.8625
91,0.82,3.9872,-0.0036,1.9843,2.0029,0.0306,-0.1819,5.4319,19.5142
92,0.82,3.9748,-0.0258,1.9721,2.0027,0.0284,-0.0520,6.2466,21.1573
93,0.85,4.0158,-0.0069,1.9707,2.0451,0.0156,+0.1880,6.3726,22.5098
94,0.82,3.9944,+0.0088,2.0262,1.9681,0.0394,+0.3624,6.7734,22.1844
95,0.84,4.0003,-0.0057,2.0086,1.9916,0.0250,+0.4429,6.8394,23.4469
96,0.84,4.0045,+0.0157,2.0303,1.9742,0.0544,+0.3753,6.6703,23.9640
97,0.83,4.0085,-0.0194,2.0396,1.9690,0.1253,+0.4632,7.0406,22.6426
98,0.85,4.0274,-0.0003,2.0204,2.0071,0.0399,+0.3051,7.5580,23.0797
99,0.82,4.0167,-0.0188,1.9927,2.0240,0.0294,+0.3833,7.9395,23.4915
100,0.83,4.0243,+0.0127,1.9796,2.0447,0.0266,+0.0319,7.5315,22.0872
101,0.82,4.0059,+0.0101,1.9718,2.0341,0.0184,+0.1189,8.1898,20.2162
102,0.82,4.0165,+0.0113,1.9648,2.0516,0.0238,-0.2445,7.8454,19.7328
103,0.83,4.0206,-0.0137,1.9529,2.0677,0.0197,-0.1093,5.8361,19.4146
104,0.80,3.9937,-0.0104,1.9597,2.0340,0.0160,-0.1685,6.7449,20.8757
105,0.83,4.0026,-0.0015,1.9898,2.0128,0.0320,-0.1937,5.9063,17.8100
106,0.84,4.0135,+0.0213,2.0065,2.0071,0.0844,-0.3377,6.7245,19.8716
107,0.79,4.0000,+0.0217,1.9719,2.0281,0.0586,-0.3511,6.9255,19.8460
108,0.83,3.9922,+0.0139,1.9649,2.0273,0.0206,-0.0798,6.3578,19.8316
109,0.84,3.9856,+0.0117,1.9558,2.0298,0.0247,-0.1534,6.7290,19.8075
110,0.82,4.0085,+0.0063,1.9560,2.0524,0.0240,-0.0097,6.3724,19.8944
111,0.82,4.0035,+0.0047,1.9713,2.0321,0.0270,-0.0932,6.6729,18.6224
112,0.82,3.9743,-0.0343,1.9537,2.0206,0.0384,-0.0967,5.1121,16.8843
113,0.82,3.9794,-0.0310,1.9516,2.0279,0.0295,-0.0109,5.3161,17.5846
114,0.83,3.9763,-0.0086,1.9526,2.0237,0.0251,-0.3353,6.3230,18.4515
115,0.81,3.9682,+0.0154,1.9609,2.0073,0.0183,-0.2913,6.5568,19.5245
116,0.84,3.9715,-0.0037,1.9637,2.0078,0.0159,-0.3922,6.8224,19.4914
117,0.83,3.9572,+0.0002,1.9503,2.0069,0.0140,-0.3279,6.7048,17.4738
118,0.82,3.9659,-0.0196,1.9514,2.0145,0.0393,-0.3614,6.0173,17.0765
119,0.82,3.9689,-0.0139,1.9567,2.0122,0.0130,-0.3691,6.4959,18.0985
120,0.82,3.9852,-0.0161,1.9822,2.0030,0.0179,-0.3565,5.9127,17.1726
121,0.83,3.9801,-0.0096,1.9914,1.9887,0.0271,-0.2656,6.5744,18.6366
122,0.84,3.9959,-0.0041,1.9916,2.0043,0.0221,-0.1358,6.6261,19.1899
123,0.83,3.9912,+0.0013,1.9960,1.9953,0.0192,+0.0266,6.7499,16.7392
