step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
65,0.83,3.9411,-0.0011,1.9184,2.0227,0.0241,+0.0180,3.4107,10.2980
66,0.84,3.9438,+0.0007,1.9160,2.0278,0.0262,-0.1017,3.2090,10.1967
67,0.83,3.9404,-0.0025,1.9126,2.0278,0.0230,-0.1105,3.2187,10.1872
68,0.84,3.9485,+0.0026,1.9126,2.0359,0.0239,-0.0685,3.2580,10.1240
69,0.83,3.9422,-0.0006,1.9084,2.0338,0.0233,+0.0245,3.1694,9.7429
70,0.83,3.9422,+0.0017,1.9100,2.0322,0.0211,+0.0260,3.0402,9.5843
71,0.84,3.9380,+0.0015,1.9125,2.0255,0.0263,+0.0335,3.0600,9.4144
72,0.84,3.9365,-0.0022,1.9099,2.0266,0.0198,+0.0289,3.1190,9.5744
73,0.84,3.9391,-0.0027,1.9141,2.0250,0.0252,+0.0301,3.2751,9.6191
74,0.84,3.9366,+0.0007,1.9113,2.0254,0.0242,-0.0247,3.2573,9.4470
75,0.84,3.9350,+0.0023,1.9129,2.0221,0.0251,-0.0701,3.3923,9.6806
76,0.84,3.9363,+0.0009,1.9131,2.0232,0.0219,-0.1009,3.4326,9.6666
77,0.83,3.9363,+0.0036,1.9121,2.0242,0.0219,+0.0066,3.2496,9.4021
78,0.84,3.9354,+0.0027,1.9126,2.0228,0.0266,+0.0061,3.0708,8.9369
79,0.84,3.9334,+0.0009,1.9092,2.0242,0.0218,+0.0333,3.1468,9.1361
80,0.84,3.9372,+0.0001,1.9097,2.0274,0.0254,+0.0145,3.1196,9.1144
81,0.84,3.9326,-0.0003,1.9067,2.0259,0.0264,+0.0965,2.9264,8.7567
82,0.84,3.9344,+0.0014,1.9065,2.0279,0.0196,+0.0488,2.9561,8.8376
83,0.84,3.9317,+0.0020,1.9098,2.0219,0.0264,+0.0453,2.9417,8.7593
84,0.84,3.9309,+0.0011,1.9063,2.0246,0.0260,+0.1132,2.7238,8.4331
85,0.84,3.9324,+0.0025,1.9030,2.0294,0.0227,+0.0210,2.7020,8.4206
86,0.84,3.9327,-0.0045,1.9014,2.0313,0.0258,-0.1063,2.7170,8.3525
87,0.84,3.9306,-0.0000,1.9029,2.0277,0.0238,-0.0979,2.6820,8.4449
88,0.84,3.9362,-0.0009,1.9059,2.0303,0.0266,-0.0565,2.7791,8.6056
89,0.84,3.9338,+0.0025,1.9053,2.0285,0.0224,+0.0316,2.8352,8.5219
90,0.84,3.9296,+0.0011,1.9058,2.0238,0.0246,-0.0044,2.6147,8.1172
91,0.84,3.9298,-0.0017,1.9053,2.0246,0.0205,+0.0506,2.7561,8.3237
92,0.84,3.9318,+0.0002,1.9034,2.0284,0.0242,+0.0092,2.7577,8.2746
93,0.84,3.9337,-0.0021,1.9011,2.0326,0.0292,+0.0863,2.6640,8.1435
94,0.84,3.9292,+0.0040,1.9017,2.0275,0.0216,+0.0601,2.6504,8.2245
95,0.84,3.9282,+0.0021,1.8993,2.0290,0.0220,-0.0279,2.5213,7.7720
96,0.84,3.9301,+0.0019,1.8997,2.0304,0.0203,+0.0450,2.3661,7.7103
97,0.84,3.9258,+0.0020,1.9003,2.0256,0.0213,+0.0549,2.4485,7.7320
98,0.84,3.9248,+0.0002,1.8991,2.0257,0.0185,+0.1136,2.5081,7.8476
99,0.84,3.9270,-0.0053,1.8969,2.0302,0.0194,+0.0751,2.3931,7.7979
