step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
65,0.45,4.0970,+0.0017,2.0947,2.0023,0.0485,+0.1464,8.6886,31.3626
66,0.46,4.0901,+0.0024,2.0751,2.0150,0.0604,-0.0894,10.7341,31.0293
67,0.49,4.0925,+0.0069,2.0821,2.0104,0.0557,-0.0986,11.2406,32.3876
68,0.47,4.1095,+0.0009,2.1126,1.9969,0.0802,-0.0741,10.7483,35.1341
69,0.48,4.0895,+0.0055,2.0684,2.0212,0.0654,-0.1850,12.8956,33.3613
70,0.45,4.0485,+0.0042,2.0413,2.0071,0.0554,+0.1462,8.0047,27.8834
71,0.48,4.0531,+0.0076,2.0499,2.0032,0.0436,-0.1649,7.9952,29.2532
72,0.48,4.0767,+0.0192,2.0691,2.0077,0.0517,+0.1734,8.6485,30.7708
73,0.46,4.1171,+0.0002,2.1205,1.9966,0.0983,+0.0480,10.2955,32.4630
74,0.45,4.0490,-0.0165,2.0457,2.0033,0.0613,+0.1334,8.6787,29.2585
75,0.44,4.0773,-0.0111,2.0715,2.0058,0.0717,-0.0401,9.4643,30.9883
76,0.47,4.0735,+0.0079,2.0751,1.9984,0.0486,-0.2917,9.1298,30.7356
77,0.46,4.0600,+0.0064,2.0520,2.0080,0.0566,-0.2417,8.7202,28.5894
78,0.43,4.0586,+0.0074,2.0602,1.9984,0.0517,-0.0045,9.7603,30.2155
79,0.47,4.0578,+0.0042,2.0499,2.0079,0.0533,+0.1390,10.6228,31.5274
80,0.46,4.0608,-0.0061,2.0603,2.0005,0.0454,+0.0693,9.2029,27.4146
81,0.44,4.0496,-0.0102,2.0413,2.0084,0.0413,-0.3379,7.4469,25.8033
82,0.45,4.0288,-0.0014,2.0159,2.0128,0.0420,-0.4635,7.3609,26.0695
83,0.44,4.0333,+0.0069,2.0257,2.0076,0.0443,-0.2137,8.0585,27.3779
84,0.44,4.0388,+0.0075,2.0348,2.0040,0.0332,-0.0301,8.8182,27.2810
85,0.44,4.0772,-0.0037,2.0646,2.0126,0.0567,+0.0880,8.8714,29.8093
86,0.48,4.0713,-0.0020,2.0674,2.0040,0.0721,+0.2834,9.9482,29.9940
87,0.47,4.0539,-0.0037,2.0460,2.0078,0.0426,-0.0200,7.6012,27.1908
88,0.45,4.0508,+0.0081,2.0452,2.0057,0.0381,+0.0007,9.5327,29.9886
89,0.45,4.0610,+0.0106,2.0606,2.0003,0.0475,-0.1233,8.6642,29.5497
90,0.47,4.0193,+0.0089,2.0069,2.0124,0.0294,+0.3656,7.6082,25.5789
91,0.45,4.0453,+0.0057,2.0407,2.0046,0.0564,+0.2834,9.4534,28.6751
92,0.47,4.0331,+0.0072,2.0278,2.0053,0.0411,+0.1883,6.9308,24.3099
93,0.44,4.0441,+0.0034,2.0441,2.0000,0.0554,+0.1594,9.3920,28.1950
94,0.47,4.0632,+0.0016,2.0650,1.9982,0.0565,+0.2285,8.2538,27.8553
95,0.44,4.0086,-0.0027,1.9939,2.0147,0.0258,+0.3282,8.8697,27.4498
96,0.42,4.0253,-0.0105,2.0243,2.0010,0.0358,+0.1499,9.1969,28.4583
97,0.41,4.0817,+0.0012,2.0770,2.0047,0.0450,-0.1448,9.1772,29.3800
98,0.49,4.0511,+0.0003,2.0524,1.9987,0.0448,+0.0503,8.0065,25.4901
99,0.49,4.0607,+0.0006,2.0457,2.0150,0.0417,-0.0566,7.7531,28.9702
100,0.46,4.0591,+0.0025,2.0487,2.0103,0.0469,+0.1572,7.5386,29.7906
101,0.44,4.0191,+0.0018,2.0022,2.0169,0.0256,+0.1083,6.8730,25.5948
102,0.47,4.0681,-0.0004,2.0678,2.0003,0.0521,+0.2760,6.9911,28.5446
103,0.44,4.0357,-0.0009,2.0288,2.0068,0.0447,+0.4931,8.1102,25.2711
104,0.47,4.0541,+0.0011,2.0445,2.0096,0.0458,+0.3374,8.1549,26.3121
105,0.46,4.0419,+0.0019,2.0455,1.9964,0.0319,+0.4413,8.4657,27.1291
106,0.47,4.0346,-0.0068,2.0350,1.9996,0.0446,+0.3089,8.1219,25.4246
107,0.46,4.0539,+0.0002,2.0522,2.0017,0.0349,+0.2693,8.9392,27.4991
108,0.46,4.0194,-0.0038,2.0099,2.0095,0.0320,+0.0605,7.7607,26.6144
109,0.44,4.0395,+0.0005,2.0248,2.0146,0.0587,+0.4415,7.9415,26.3096
110,0.49,4.0268,+0.0050,2.0291,1.9977,0.0427,+0.2880,6.7644,24.2451
111,0.46,4.0343,+0.0034,2.0304,2.0039,0.0451,+0.3997,7.1175,25.7732
112,0.44,4.0294,+0.0040,2.0130,2.0164,0.0573,+0.2262,7.1139,25.1716
113,0.44,4.0254,-0.0056,2.0157,2.0097,0.0405,+0.2144,7.4193,23.8295
114,0.48,4.0532,+0.0011,2.0513,2.0019,0.0526,-0.0321,8.1054,26.9478
115,0.48,4.0876,+0.0033,2.0943,1.9933,0.0730,+0.1118,7.9221,27.9556
116,0.46,4.0513,-0.0036,2.0458,2.0055,0.0451,+0.3467,7.1459,28.9193
117,0.46,4.0662,+0.0003,2.0692,1.9971,0.0490,+0.1781,7.8140,26.4672
118,0.47,4.0426,+0.0015,2.0381,2.0045,0.0451,+0.4056,8.1317,26.0036
119,0.48,4.0309,+0.0027,2.0265,2.0045,0.0428,+0.2547,7.6436,26.8582
