step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.70,20.3169,+2.0206,2.5648,17.7521,419.1803,+0.0000,12.3086,74.3314
1,0.69,18.2057,+0.0998,2.5704,15.6353,366.3269,-0.0000,14.8134,58.3871
2,0.66,20.9488,-2.3816,2.5804,18.3684,1992.6168,+0.0000,13.1822,72.5317
3,0.70,50.5201,-9.5265,2.5804,47.9397,58824.4414,-0.0000,12.4628,213.8683
4,0.69,22.5438,-4.3401,2.5743,19.9696,3726.7434,+0.0000,15.2339,85.7004
5,0.71,20.0246,+0.7594,2.6030,17.4216,943.3022,+0.0000,11.8463,61.6617
6,0.70,26.3982,+0.5275,2.5671,23.8311,4404.2256,-0.0000,12.0838,99.3705
7,0.70,28.6708,-0.1428,2.5652,26.1056,8897.7910,+0.0000,8.7029,103.0397
8,0.71,33.8347,+2.3340,2.5562,31.2785,21208.9043,+0.0000,11.5477,136.5379
9,0.69,18.1892,+0.2643,2.5554,15.6338,347.0223,-0.0000,13.7289,69.5533
10,0.71,21.5810,+3.1083,2.5723,19.0087,1290.0344,+0.0000,17.9149,79.9936
11,0.71,17.7137,+0.2515,2.5608,15.1529,284.6804,+0.0000,11.7059,63.9571
12,0.72,18.4246,-0.1658,2.5484,15.8762,374.7694,-0.0000,9.9889,67.9155
13,0.71,15.4968,-2.1997,2.5655,12.9314,149.9626,+0.0000,11.2631,52.6337
14,0.73,19.8243,+2.0421,2.5585,17.2658,825.5574,+0.0000,12.6539,71.4059
15,0.71,31.7419,+3.5814,2.5548,29.1871,10893.5957,+0.0000,13.3430,136.2003
16,0.72,21.9379,-0.0627,2.5408,19.3971,3643.3721,+0.0000,10.9606,80.5275
17,0.71,15.6309,-0.0403,2.5355,13.0954,258.1098,+0.0000,9.6393,48.9570
18,0.74,18.3936,+0.1906,2.5574,15.8362,1729.4073,+0.0000,9.1295,58.3797
19,0.71,16.1019,+0.7315,2.5506,13.5513,642.7812,-0.0000,7.0835,44.9500
20,0.74,17.6211,-0.1649,2.5645,15.0566,1257.0571,-0.0000,7.8070,56.1876
21,0.72,16.9059,+1.3487,2.5712,14.3347,1536.0880,+0.0000,7.7091,48.6830
22,0.74,12.4168,+1.0429,2.5781,9.8387,172.6898,-0.0000,5.8942,28.8687
23,0.73,13.8039,-0.0546,2.5795,11.2244,113.6217,+0.0000,7.5883,38.9301
24,0.72,14.1226,-0.3522,2.5696,11.5530,212.4934,+0.0000,8.1871,43.9649
25,0.76,13.9331,+0.2010,2.5808,11.3523,210.7699,-0.0000,6.5495,42.0186
26,0.71,13.3605,+0.4734,2.5822,10.7783,165.3745,-0.0000,7.6021,37.6794
27,0.75,12.2395,+0.4412,2.5641,9.6755,98.3339,-0.0000,7.5720,33.7935
28,0.74,12.7895,-0.2924,2.5589,10.2307,116.0215,+0.0000,6.7051,36.5652
29,0.76,11.5696,-0.2288,2.5614,9.0082,72.6793,-0.0000,6.6003,30.2745
30,0.74,11.1655,-0.0884,2.5823,8.5832,31.9216,-0.0000,7.0271,27.0583
31,0.77,12.9310,-0.3687,2.5677,10.3633,744.2509,+0.0000,7.8745,35.3209
32,0.74,14.1369,-0.0599,2.5695,11.5674,804.1951,-0.0000,8.4314,42.8371
33,0.76,12.6283,-0.5620,2.5705,10.0578,201.3416,+0.0000,7.7991,34.6933
34,0.74,16.6389,+1.5377,2.5776,14.0613,2778.0952,-0.0000,7.0852,62.1770
35,0.73,13.2269,+0.1909,2.5622,10.6647,309.4692,+0.0000,6.4923,39.6405
36,0.75,13.0150,-0.5527,2.5661,10.4490,361.0020,+0.0000,6.1645,32.8481
37,0.76,35.1736,+3.1960,2.5537,32.6199,53536.8984,+0.0000,5.9908,148.8571
38,0.74,10.6527,+0.2966,2.5514,8.1014,32.2679,-0.0000,6.1238,25.1366
39,0.75,11.9360,-0.1511,2.5538,9.3822,168.8376,+0.0000,4.5478,32.7318
40,0.76,36.7364,-5.7563,2.5607,34.1756,66328.2578,+0.0000,6.1197,147.0048
41,0.75,11.1541,-0.2327,2.5511,8.6030,51.9802,+0.0000,6.6461,26.0764
42,0.74,14.4122,+0.2365,2.5561,11.8561,685.5321,+0.0000,7.1429,41.8802
43,0.75,11.2470,+0.0974,2.5458,8.7012,52.0339,-0.0000,6.9976,24.8323
44,0.74,12.1336,-0.4482,2.5564,9.5772,137.4919,+0.0000,7.4265,34.6979
45,0.75,15.6712,+1.1601,2.5585,13.1126,1071.9178,+0.0000,7.0960,45.7210
46,0.74,13.7242,-1.3698,2.5501,11.1741,1219.9160,-0.0000,6.1548,42.4903
47,0.76,10.7577,-0.4214,2.5591,8.1986,111.4589,+0.0000,5.8681,24.8836
48,0.75,11.7479,-0.9777,2.5527,9.1952,454.6426,-0.0000,5.1347,28.1316
49,0.75,9.4086,-0.1096,2.5508,6.8578,19.9191,+0.0000,3.9978,19.1063
50,0.76,10.1224,-0.0230,2.5505,7.5719,57.7019,-0.0000,4.5025,23.0709
51,0.73,11.7920,+0.3342,2.5547,9.2373,354.6384,+0.0000,4.7622,29.1015
52,0.73,9.5106,+0.8529,2.5574,6.9532,66.6338,-0.0000,5.2093,24.7198
53,0.76,10.2630,-0.1187,2.5602,7.7028,75.8620,-0.0000,5.2076,23.1176
54,0.77,10.2187,+0.2633,2.5630,7.6557,40.8308,+0.0000,5.7662,23.1999
55,0.74,10.1896,+0.1253,2.5614,7.6283,38.5488,+0.0000,4.7352,22.1818
56,0.76,10.1621,-0.6396,2.5480,7.6141,127.7574,+0.0000,5.2717,25.2203
57,0.76,9.5728,+0.1396,2.5663,7.0065,33.5071,+0.0000,3.6531,18.9039
58,0.75,11.7376,-0.6483,2.5533,9.1843,195.0785,+0.0000,5.1611,34.4942
59,0.75,9.6036,+0.0364,2.5549,7.0486,37.5487,+0.0000,5.5470,19.6136
60,0.78,9.3373,-0.0636,2.5755,6.7618,44.1018,-0.0000,5.7480,22.9218
61,0.76,9.9616,+0.2651,2.5406,7.4210,43.0776,-0.0000,5.2351,24.4029
62,0.77,10.4529,+1.0369,2.5404,7.9124,67.3997,-0.0000,7.0807,27.2434
63,0.76,10.1354,+0.9828,2.5496,7.5859,149.8594,+0.0000,4.0631,16.8131
64,0.75,11.3662,-0.2928,2.5478,8.8184,377.9872,-0.0000,4.3083,30.3613
65,0.78,9.4962,-0.1020,2.5515,6.9446,126.1312,-0.0000,4.7003,21.1326
66,0.78,9.1066,+0.0432,2.5504,6.5563,91.1525,-0.0000,3.5263,16.3476
67,0.76,8.5959,+0.1848,2.5682,6.0277,14.5674,-0.0000,5.6920,17.8166
68,0.77,8.5846,+0.1714,2.5915,5.9931,17.7831,+0.0000,2.3243,14.6342
69,0.79,9.1843,+0.3537,2.5639,6.6204,52.2170,+0.0000,3.9733,16.2798
70,0.76,9.5499,+0.1390,2.5659,6.9840,83.8459,+0.0000,6.2116,22.8215
71,0.80,8.4035,+0.0941,2.5599,5.8436,19.1945,-0.0000,5.0226,13.8413
72,0.77,7.9035,+0.1895,2.5612,5.3424,6.4707,+0.0000,3.8925,12.6746
73,0.77,9.1620,+0.3132,2.5605,6.6015,48.2646,-0.0000,3.4450,15.9169
