step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.52,4.8938,+0.0805,2.2209,2.6728,0.5074,+0.1297,23.6642,81.4349
1,0.46,4.8446,+0.0299,2.2213,2.6234,0.5516,-0.2952,24.0053,84.0890
2,0.47,4.8905,-0.0703,2.2181,2.6724,0.5507,+0.0204,18.3722,79.3781
3,0.48,4.8861,+0.0743,2.2510,2.6351,0.4212,-0.5819,22.6513,83.4150
4,0.52,4.3258,-0.0335,2.2352,2.0906,0.1361,+0.2469,16.7804,64.8587
5,0.52,4.2939,+0.0070,2.2263,2.0675,0.1634,+0.5345,17.9867,66.1761
6,0.50,4.2869,+0.0139,2.2132,2.0737,0.1228,+0.6642,17.9172,64.4203
7,0.46,4.3020,-0.0037,2.2621,2.0399,0.1559,+0.6207,20.2406,63.2220
8,0.52,4.1983,+0.0097,2.1990,1.9993,0.0735,+0.9867,18.3876,51.1548
9,0.50,4.2163,+0.0069,2.1888,2.0275,0.0871,+0.8077,19.1527,52.9644
10,0.49,4.2109,-0.0076,2.1786,2.0323,0.0785,+1.0542,19.6713,49.1588
11,0.52,4.2197,+0.0001,2.2040,2.0157,0.1231,+1.4008,19.6584,51.9263
12,0.49,4.2083,+0.0008,2.2043,2.0040,0.1309,+0.2738,17.2655,46.8871
13,0.52,4.1521,+0.0048,2.1347,2.0175,0.0630,+0.5814,15.8125,42.8397
14,0.47,4.1230,+0.0041,2.1101,2.0129,0.0640,+0.3818,15.0897,41.9340
15,0.48,4.1465,+0.0174,2.1218,2.0247,0.0591,-0.3113,17.1550,48.1761
16,0.48,4.1294,-0.0059,2.1185,2.0110,0.0491,-0.1091,15.0230,44.9825
17,0.48,4.1365,-0.0006,2.1338,2.0026,0.0937,+0.0951,14.3368,39.5465
18,0.49,4.1213,+0.0053,2.1076,2.0137,0.0490,-0.1647,16.0171,39.8591
19,0.49,4.1443,-0.0176,2.1443,1.9999,0.0836,-0.3440,15.3707,40.8570
20,0.46,4.1513,+0.0055,2.1473,2.0040,0.0726,-0.1101,16.2720,41.1073
21,0.48,4.1632,-0.0008,2.1733,1.9900,0.3138,+0.1777,13.6226,35.6942
22,0.49,4.0687,-0.0050,2.0628,2.0059,0.0379,-0.1112,12.9413,32.5206
23,0.47,4.1462,+0.0068,2.1510,1.9951,0.0708,+0.1718,13.6528,38.2099
24,0.52,4.0791,-0.0047,2.0765,2.0025,0.0339,+0.0868,12.9764,35.8315
25,0.50,4.1127,+0.0005,2.0985,2.0142,0.0592,+0.2897,14.0544,37.1314
26,0.49,4.1432,-0.0050,2.1462,1.9970,0.0808,+0.2801,13.0352,37.0694
27,0.46,4.1028,+0.0004,2.0949,2.0079,0.0431,-0.1499,13.8177,35.4823
28,0.48,4.1043,-0.0041,2.0929,2.0114,0.0417,+0.2660,13.1100,34.4260
29,0.49,4.0852,-0.0146,2.0794,2.0058,0.0465,-0.0743,12.1570,35.9985
30,0.46,4.1122,-0.0042,2.1088,2.0033,0.0405,-0.5634,14.2270,36.8197
31,0.50,4.1134,-0.0128,2.1178,1.9956,0.0613,-0.7278,13.2841,33.0777
32,0.47,4.0778,+0.0104,2.0738,2.0040,0.0366,+0.0303,10.4334,31.8085
33,0.50,4.0911,+0.0039,2.0852,2.0059,0.0684,-0.2540,11.3829,30.2842
34,0.48,4.0843,+0.0024,2.0800,2.0043,0.0545,-0.0024,12.2553,33.5321
35,0.45,4.0837,+0.0029,2.0690,2.0147,0.0542,+0.3082,12.0781,34.1061
36,0.48,4.0681,+0.0077,2.0558,2.0124,0.0268,+0.2217,10.5140,29.7215
37,0.46,4.0572,-0.0025,2.0550,2.0022,0.0403,+0.2389,10.0978,29.2162
38,0.48,4.0719,+0.0049,2.0743,1.9977,0.0529,+0.3871,10.3309,28.8552
39,0.47,4.0659,-0.0022,2.0522,2.0138,0.0405,-0.1989,9.9358,28.1372
40,0.46,4.0682,-0.0010,2.0589,2.0093,0.0418,+0.1726,10.5686,30.5857
41,0.47,4.0771,-0.0035,2.0670,2.0101,0.0509,+0.3727,11.1374,31.4784
