step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.78,39.6365,+0.1384,2.5724,37.0641,23277.9746,-0.4594,9.8140,158.8751
1,0.80,35.2720,+0.1437,2.5751,32.6969,20151.4766,-0.4134,9.9428,146.6071
2,0.79,36.9716,+0.8106,2.5694,34.4022,38802.3750,-0.5415,10.4569,157.0858
3,0.79,36.2087,-0.0541,2.5770,33.6316,38124.8164,-0.5889,10.6094,148.9359
4,0.80,24.8496,+0.2306,2.5769,22.2727,1250.5835,-0.4865,10.3526,89.5429
5,0.79,40.0131,+0.3280,2.5812,37.4319,62932.1602,-0.4414,9.5675,165.7093
6,0.79,29.5828,+0.1657,2.5846,26.9981,11081.5762,-0.6413,9.8864,115.4396
7,0.79,23.5985,-0.0463,2.5910,21.0075,5443.5576,-0.6921,10.3613,84.9125
8,0.79,19.6312,-0.0489,2.5825,17.0488,717.5110,-0.8509,10.4033,65.6016
9,0.79,19.0589,+0.1863,2.5874,16.4716,663.5496,-0.7732,10.3680,66.0051
10,0.80,21.9339,+0.1001,2.5854,19.3485,3472.7000,-0.7316,9.8344,78.0273
11,0.79,24.2108,+0.0441,2.5903,21.6205,9424.0811,-0.7107,9.7597,88.9516
12,0.81,16.9053,-0.0385,2.5845,14.3208,305.2257,-0.7474,8.9701,52.5318
13,0.80,21.3120,+0.4169,2.5779,18.7341,5477.2236,-0.7729,9.1435,73.1850
14,0.78,16.5919,+0.4233,2.5748,14.0171,441.5285,-0.7228,9.1414,50.7444
15,0.78,16.2817,+0.2053,2.5791,13.7026,307.7576,-0.6653,8.9616,49.3368
16,0.80,31.0291,+0.1009,2.5774,28.4516,112721.8984,-0.7082,8.7766,117.6801
17,0.79,14.0077,+0.2839,2.5775,11.4302,122.3916,-0.6464,7.9854,36.9720
18,0.80,24.7290,+0.5299,2.5822,22.1467,38797.0273,-0.7144,7.6827,84.3497
19,0.79,34.8965,-0.4071,2.5864,32.3101,207830.5625,-0.7811,8.2750,141.0247
20,0.79,15.1169,+0.0643,2.5743,12.5426,906.0231,-0.8579,7.7832,43.4692
21,0.79,14.6632,-0.0449,2.5774,12.0858,530.9779,-0.7717,8.3554,39.1494
22,0.80,13.5314,-0.4186,2.5734,10.9579,115.2862,-0.7698,8.2306,35.3847
23,0.80,12.3703,-0.1739,2.5730,9.7972,47.1969,-0.8476,7.9294,32.1987
24,0.80,13.7947,-0.3596,2.5712,11.2236,1073.8976,-0.9232,7.5792,38.0887
25,0.80,12.1757,-0.3707,2.5729,9.6028,51.8738,-0.8185,7.6442,31.0429
26,0.80,13.8911,-0.1061,2.5648,11.3263,2445.3708,-0.7513,7.0822,38.2045
27,0.79,13.1560,-0.0169,2.5701,10.5859,933.4706,-0.7517,6.7935,34.6497
28,0.80,12.4316,-0.2403,2.5770,9.8546,195.2352,-0.7215,6.8538,31.1678
29,0.79,12.9979,+0.1648,2.5899,10.4080,427.8865,-0.7533,7.2793,35.1433
30,0.79,11.7269,+0.0180,2.5777,9.1491,46.7534,-0.6972,6.9760,28.7951
31,0.79,15.4340,-0.3977,2.5718,12.8623,6808.4585,-0.7051,6.9513,48.7024
32,0.79,12.6311,+0.0227,2.5748,10.0562,1002.3064,-0.6306,7.4497,33.2928
33,0.80,10.7801,+0.0106,2.5739,8.2061,34.9748,-0.5419,7.1670,24.7190
34,0.79,10.7534,-0.0599,2.5796,8.1737,39.7871,-0.5411,7.0493,24.0929
35,0.80,10.6815,-0.0053,2.5783,8.1032,38.2400,-0.5998,6.8583,24.0719
36,0.80,10.7407,-0.3275,2.5762,8.1645,60.6706,-0.7563,6.5592,24.7892
37,0.80,10.9084,-0.0049,2.5755,8.3329,89.4068,-0.5552,6.9431,24.9610
38,0.80,11.3412,-0.3203,2.5721,8.7691,158.5361,-0.5218,6.8292,28.1427
39,0.79,11.1667,+0.0945,2.5698,8.5970,158.3824,-0.5948,6.3362,26.8534
40,0.80,10.1553,-0.0599,2.5656,7.5897,20.1992,-0.7072,6.5131,21.8948
41,0.80,10.5617,+0.1127,2.5708,7.9909,48.9575,-0.6333,6.3475,23.4200
42,0.80,10.2873,+0.0328,2.5734,7.7140,131.5191,-0.5807,6.1349,22.2939
43,0.80,12.0224,+0.1081,2.5657,9.4567,2236.2676,-0.5836,5.6600,31.0699
44,0.80,9.4774,+0.1358,2.5627,6.9147,10.8421,-0.4480,6.0025,19.1339
45,0.80,9.5463,-0.0065,2.5534,6.9929,33.5625,-0.5057,5.7342,19.9506
46,0.80,10.0277,+0.0873,2.5570,7.4707,133.4444,-0.5354,5.8671,21.8099
47,0.80,28.2138,+0.7433,2.5549,25.6588,178014.2031,-0.4740,5.6035,111.6210
48,0.79,12.0441,+0.2907,2.5562,9.4878,2761.0386,-0.4463,5.6246,32.4118
49,0.80,9.4610,-0.1612,2.5622,6.8988,22.1303,-0.5261,5.7678,19.7565
50,0.80,8.9728,-0.0237,2.5566,6.4162,13.1214,-0.5555,5.5514,17.3394
51,0.81,8.8951,+0.1771,2.5621,6.3330,20.8109,-0.6143,5.4059,17.2947
52,0.80,8.8138,+0.0775,2.5611,6.2527,14.6302,-0.6800,5.6117,16.7322
53,0.80,11.4318,-0.2732,2.5626,8.8692,2674.4465,-0.7032,5.7125,32.4377
54,0.80,10.0377,+0.2040,2.5500,7.4877,523.4045,-0.7301,5.4109,23.2342
55,0.80,10.1539,-0.2388,2.5485,7.6053,1189.7771,-0.7213,5.2346,23.6628
56,0.80,8.9779,+0.2165,2.5509,6.4270,11.7204,-0.6662,5.4638,17.3699
