step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.85,4.4720,+0.0332,2.2041,2.2680,0.2344,-0.8221,13.9987,58.7338
1,0.86,4.4167,+0.0649,2.1878,2.2289,0.2254,-0.7038,14.6209,57.8312
2,0.84,4.3259,+0.0009,2.1629,2.1630,0.1999,-0.8264,14.2224,55.0901
3,0.85,4.3432,+0.0155,2.2009,2.1423,0.2479,-0.8028,15.1128,56.6671
4,0.85,4.3010,+0.0339,2.1936,2.1074,0.1550,-0.8443,14.3619,53.2597
5,0.84,4.2631,+0.0283,2.1830,2.0801,0.1231,-0.7053,13.6716,50.1583
6,0.84,4.2502,-0.0075,2.1874,2.0628,0.1558,-0.5991,12.4999,49.4792
7,0.83,4.2196,+0.0060,2.1678,2.0518,0.1595,-0.3626,12.4765,45.3953
8,0.84,4.1801,-0.0107,2.1256,2.0544,0.1305,-0.2999,10.6674,44.8253
9,0.84,4.2216,+0.0128,2.1411,2.0805,0.1044,-0.2198,11.6859,44.6178
10,0.86,4.1902,-0.0042,2.1193,2.0710,0.0811,-0.0306,11.8606,41.3836
11,0.83,4.2095,+0.0168,2.1157,2.0937,0.0991,+0.2759,11.3768,42.8854
12,0.84,4.2086,-0.0371,2.1582,2.0504,0.1146,-0.0325,11.5447,43.0137
13,0.84,4.1598,-0.0053,2.1190,2.0408,0.0689,-0.0680,11.3022,42.3136
14,0.84,4.1322,-0.0119,2.1031,2.0291,0.0602,-0.1181,10.6020,41.3271
15,0.83,4.1615,+0.0120,2.1091,2.0524,0.0732,-0.1512,10.9489,42.0433
16,0.85,4.1529,+0.0066,2.1189,2.0340,0.0683,-0.2386,10.9504,41.6552
17,0.85,4.1354,-0.0112,2.1112,2.0242,0.0812,-0.2622,10.5578,40.1530
18,0.84,4.1281,-0.0076,2.1156,2.0126,0.0836,-0.1633,10.6636,39.0580
19,0.84,4.1267,-0.0105,2.1014,2.0254,0.0687,-0.4180,10.7777,38.8686
20,0.85,4.1030,+0.0002,2.0900,2.0130,0.0473,-0.3574,8.5313,34.2910
21,0.82,4.1005,-0.0033,2.0695,2.0310,0.0510,-0.4360,8.3868,34.8511
22,0.85,4.1026,+0.0042,2.0550,2.0476,0.0392,-0.3123,8.6561,33.2145
23,0.84,4.0993,-0.0088,2.0597,2.0396,0.0411,-0.2440,7.6340,32.6528
24,0.85,4.0895,-0.0211,2.0652,2.0243,0.0619,-0.3867,7.9655,31.6371
25,0.84,4.0916,-0.0269,2.0867,2.0049,0.0597,-0.4327,7.2697,29.8871
26,0.84,4.0870,+0.0041,2.0774,2.0096,0.0604,-0.4155,7.1924,28.2468
27,0.83,4.0979,-0.0063,2.0616,2.0364,0.1733,-0.4462,8.1748,27.0892
28,0.84,4.0762,+0.0045,2.0873,1.9889,0.1295,-0.4414,8.2964,28.7306
29,0.85,4.0487,-0.0026,2.0452,2.0035,0.0420,-0.5310,7.9161,28.0741
30,0.84,4.0361,-0.0088,2.0307,2.0054,0.0476,-0.4852,8.4924,26.5674
31,0.84,4.0140,-0.0158,2.0082,2.0058,0.0441,-0.3268,7.1682,26.2499
32,0.85,4.0525,+0.0073,2.0257,2.0268,0.0510,-0.0596,7.7529,26.5011
33,0.84,4.0302,+0.0129,2.0012,2.0290,0.0467,+0.0126,7.8466,26.5418
34,0.84,4.0139,-0.0237,1.9966,2.0172,0.0405,-0.0930,5.9780,24.0919
35,0.85,4.0396,-0.0019,1.9980,2.0416,0.0378,+0.1638,6.7230,22.8787
36,0.84,4.0337,-0.0258,1.9905,2.0432,0.0358,+0.1472,6.8228,24.7507
37,0.85,4.0264,-0.0223,2.0019,2.0245,0.0250,+0.1611,7.1309,25.6074
