step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.79,32.0374,+0.6939,2.5523,29.4851,2441.9590,+0.4378,8.4917,127.6018
1,0.80,108.3570,-4.5539,2.5603,105.7966,358873.5000,+0.0201,7.4826,525.9686
2,0.80,35.8818,-0.3144,2.5430,33.3388,7422.4409,-0.4102,8.6508,143.2473
3,0.81,43.9842,-0.6986,2.5429,41.4413,14296.1973,-0.2078,8.6176,195.0226
4,0.82,25.5228,+0.1269,2.5454,22.9775,1113.9578,-0.1845,7.7980,92.3711
5,0.80,48.2906,+0.3152,2.5546,45.7360,40628.7500,-0.2431,7.6815,204.0196
6,0.80,23.5595,-0.4943,2.5577,21.0018,776.2437,-0.3922,6.5637,79.0128
7,0.80,25.7238,-1.8394,2.5436,23.1802,3096.2002,-0.3053,7.7597,92.1009
8,0.80,23.8572,-1.1747,2.5452,21.3119,2350.9917,-0.2999,8.0120,85.6632
9,0.80,19.4071,-0.4570,2.5621,16.8450,371.2894,-0.4092,7.0899,61.8358
10,0.82,20.3206,-0.1201,2.5703,17.7502,1330.0017,-0.0680,7.2046,62.6174
11,0.78,21.0683,-0.2156,2.5407,18.5276,2322.9216,+0.0241,5.8244,69.7941
12,0.79,23.8269,+0.0524,2.5478,21.2791,2989.4663,-0.0858,6.6296,79.9536
13,0.79,23.8643,+0.8293,2.5581,21.3062,7048.8164,+0.2366,7.2277,87.4218
14,0.83,17.5310,-0.0319,2.5560,14.9749,353.1792,+0.3664,8.6935,53.8495
15,0.80,20.6933,-0.9711,2.5642,18.1291,2078.3953,+0.2068,8.1179,67.1489
16,0.79,17.8476,-0.4091,2.5757,15.2719,478.6990,+0.4573,7.3749,53.7681
17,0.77,15.7945,-0.0427,2.5669,13.2276,144.7252,+0.3714,7.2966,40.4998
18,0.79,14.1874,+0.4172,2.5532,11.6342,39.6562,+0.3249,6.1110,34.8854
19,0.80,67.8457,+1.8674,2.5663,65.2794,277952.2500,+0.3862,4.7706,301.8759
20,0.81,17.7020,+0.6004,2.5848,15.1171,676.0840,+0.5290,5.5906,48.1903
21,0.81,15.0511,+1.0385,2.5610,12.4901,108.9335,+0.6100,6.5946,44.5019
22,0.80,39.9774,+0.4930,2.5713,37.4061,59572.4219,+0.5133,6.2712,164.9799
23,0.79,22.2658,+0.2446,2.5853,19.6806,2488.0388,+0.2035,5.6595,76.9659
24,0.80,14.8455,+0.0211,2.5785,12.2670,79.1006,+0.3387,6.4934,39.0450
25,0.81,519.4988,-4.0396,2.5709,516.9280,25285028.0000,+0.2247,6.2818,2529.9966
26,0.81,35.5321,-1.0849,2.5771,32.9550,23870.2109,+0.1697,6.0409,134.4691
27,0.80,15.1885,+0.0494,2.5840,12.6046,163.1779,+0.2528,6.4116,40.1532
28,0.79,21.1819,-0.4291,2.5786,18.6033,5353.6641,+0.1728,6.8478,71.6541
29,0.81,14.0335,+0.0384,2.5784,11.4552,88.8215,+0.2543,6.3171,34.4370
30,0.81,16.7359,-0.1768,2.5992,14.1367,822.7371,+0.5362,6.4486,49.1702
31,0.79,18.2156,-0.9230,2.6132,15.6024,1146.3301,+0.3582,5.3385,54.3488
32,0.79,30.3428,-1.1621,2.6406,27.7022,30789.2715,+0.1602,5.9732,108.6090
33,0.78,16.6624,-0.2245,2.6396,14.0227,588.3591,+0.3746,5.7076,48.4525
34,0.79,14.0641,+0.0204,2.6326,11.4315,110.6599,+0.5018,6.1614,35.8336
35,0.78,13.1848,+0.4066,2.6337,10.5511,89.2119,+0.5160,6.3603,33.5065
36,0.78,17.3399,+0.5091,2.6128,14.7271,1871.5369,+0.2858,6.2064,50.4891
37,0.78,16.8149,-0.4210,2.6033,14.2116,847.8101,+0.4375,5.4007,43.7408
38,0.81,11.4607,-0.2667,2.6209,8.8398,198.3247,+0.3841,5.2152,24.7828
39,0.79,12.0205,+0.0793,2.6057,9.4148,16.6665,+0.6303,5.0501,21.7107
40,0.80,12.9840,-0.2045,2.6133,10.3707,85.1495,+0.3358,5.9917,28.6599
41,0.79,11.6328,-0.2241,2.5869,9.0460,14.1442,+0.3603,6.2189,22.8245
42,0.81,11.2078,+0.7704,2.6031,8.6048,17.2695,+0.6710,4.8776,23.4368
43,0.80,11.0049,+0.4806,2.6008,8.4041,13.5618,+0.3033,4.7594,21.8413
44,0.80,11.0454,+0.2621,2.6108,8.4346,23.0158,+0.5035,4.2318,23.3717
45,0.79,10.4973,+0.3449,2.6204,7.8769,12.5883,+0.4657,3.5122,19.7502
46,0.79,11.9407,-0.4659,2.6253,9.3154,94.5079,+0.5719,4.6086,26.6719
47,0.80,11.3921,-0.2721,2.5940,8.7981,43.0903,+0.4811,4.0749,23.3275
48,0.79,10.8018,-0.0474,2.6197,8.1821,12.4566,+0.6695,3.8791,17.2015
49,0.80,13.9996,-0.6786,2.6263,11.3733,529.8134,+0.5181,4.9479,33.7096
50,0.81,12.1167,+0.1491,2.6166,9.5001,95.5476,+0.5035,4.5596,24.5277
51,0.80,11.1424,-0.2690,2.5927,8.5497,47.0596,+0.4872,4.3066,22.9852
52,0.78,10.3896,+0.4466,2.5853,7.8043,33.8629,+0.3486,4.0930,19.4291
53,0.79,10.2973,-0.1179,2.6002,7.6971,26.0853,+0.6704,4.6696,21.4500
54,0.80,10.6450,+0.1852,2.6056,8.0394,46.6941,+0.6348,6.1098,22.1778
55,0.81,11.6694,+0.4427,2.6050,9.0645,125.3022,+0.7940,5.6926,26.3041
56,0.80,11.0275,+0.1249,2.5844,8.4431,21.7381,+0.8662,5.8707,22.7312
57,0.78,10.5512,-0.2971,2.5842,7.9670,21.2877,+0.4390,6.7545,23.9953
58,0.81,10.4004,+0.2558,2.5940,7.8064,14.3068,+0.6916,5.4169,19.2185
59,0.81,10.2899,+0.2814,2.6050,7.6849,21.5055,+0.7639,4.9664,18.6225
60,0.79,9.8804,+0.2407,2.6087,7.2717,12.9651,+0.9477,6.1226,18.2280
61,0.79,10.9299,+0.5076,2.5979,8.3320,147.7057,+0.8797,5.5529,25.1228
62,0.79,11.0022,+0.2949,2.5618,8.4404,139.4967,+0.6849,4.5954,20.6624
63,0.81,10.0376,+0.1548,2.5815,7.4561,37.0100,+0.7756,4.6833,17.7309
64,0.81,9.5361,+0.3236,2.5870,6.9491,27.0071,+0.8516,4.7152,17.2322
65,0.79,10.1362,-0.0235,2.5976,7.5386,130.6324,+1.0382,4.5591,20.9287
66,0.80,9.7038,+0.3917,2.6034,7.1004,37.2064,+0.9828,4.8034,19.8706
67,0.79,9.9508,+0.3700,2.5850,7.3658,33.8065,+0.7682,4.5574,19.4586
68,0.81,9.9070,+0.3849,2.5742,7.3328,23.8083,+0.7307,4.2996,20.2610
69,0.80,9.8908,+0.2179,2.5636,7.3272,42.7074,+0.9340,4.7374,19.2322
70,0.80,13.1094,+0.1585,2.5516,10.5579,831.4093,+0.6880,4.1843,40.2287
71,0.78,10.0112,+0.3823,2.5727,7.4385,53.8065,+1.1133,4.5186,18.9227
72,0.81,9.1234,+0.5811,2.5610,6.5624,15.6343,+1.0558,5.3178,16.1220
73,0.81,9.2595,+0.0935,2.5846,6.6749,37.8948,+1.3157,5.7633,18.1143
74,0.84,9.0114,+0.2472,2.5833,6.4280,21.4771,+1.1800,5.1488,16.2341
75,0.81,8.2994,+0.0883,2.5575,5.7419,4.5273,+1.0775,4.2882,13.7672
76,0.80,8.4476,+0.2400,2.5603,5.8874,4.4444,+1.1597,4.4362,12.7225
77,0.81,8.2281,-0.0658,2.5399,5.6882,5.9384,+1.0152,4.0360,13.3306
78,0.82,8.4615,-0.1836,2.5491,5.9124,5.6975,+0.8384,3.6167,11.8407
79,0.79,8.4179,-0.0058,2.5617,5.8562,5.6004,+0.9422,3.9716,14.7073
80,0.80,8.5092,-0.3489,2.5845,5.9248,14.8567,+0.9986,3.9497,15.3752
81,0.80,8.5230,-0.1842,2.5762,5.9468,15.0256,+1.0957,2.9794,12.8310
82,0.81,8.2918,+0.4594,2.5678,5.7240,13.6878,+0.4278,0.9972,12.0943
83,0.80,8.7530,-0.0550,2.5585,6.1945,16.1887,+0.5502,1.7952,14.5001
84,0.78,8.0731,-0.0740,2.5747,5.4984,5.8491,+0.7699,2.2072,11.8187
85,0.79,7.9365,+0.1777,2.5754,5.3611,5.1077,+0.6937,1.9217,11.0060
86,0.82,14.2944,+0.3236,2.5669,11.7275,4480.1782,+0.7468,1.1668,42.8203
87,0.81,8.3899,+0.4624,2.5825,5.8074,19.7953,+0.6164,1.3357,10.3379
88,0.80,8.5634,+0.7070,2.6092,5.9542,52.3936,+0.5335,1.5238,13.9329
89,0.81,9.9111,+0.2891,2.5953,7.3158,324.4637,+0.4123,1.7609,20.1232
90,0.81,8.3210,+0.0936,2.5874,5.7336,11.2505,+0.3921,2.2452,12.6985
91,0.81,8.6756,+0.1159,2.5763,6.0993,31.7695,+0.5516,1.9542,15.6373
92,0.79,7.9361,-0.0982,2.5794,5.3567,7.5671,+0.5178,1.4867,9.4169
93,0.80,11.4919,-0.1561,2.5820,8.9099,770.6402,+0.5705,1.7060,26.6389
94,0.81,8.0705,-0.0892,2.5804,5.4901,10.8874,+0.5563,1.5643,8.8635
95,0.79,8.5362,-0.3566,2.5866,5.9496,39.8464,+0.6542,2.3515,15.9652
