step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.79,7.6029,-1.2138,2.5434,5.0596,54.0302,+0.0552,0.4806,15.2211
1,0.78,16.1591,-6.6033,2.5371,13.6219,9447.2646,+0.0699,0.4926,59.6345
2,0.83,5.9840,-0.5905,2.5390,3.4450,9.3435,+0.0640,0.4708,5.6917
3,0.79,6.3544,-3.6047,2.5461,3.8083,51.2262,+0.0516,0.4891,7.1657
4,0.80,10.5827,-0.4594,2.5583,8.0243,802.4247,+0.0829,0.4457,29.6138
5,0.81,8.0252,+0.0991,2.5441,5.4811,64.3315,+0.0891,0.4608,17.0398
6,0.81,8.1339,+0.4547,2.5377,5.5961,295.5760,+0.0781,0.4509,16.8915
7,0.78,6.9734,+0.1387,2.5372,4.4362,8.5895,+0.0366,0.3804,10.2942
8,0.81,6.2839,-0.5545,2.5361,3.7478,116.1147,+0.0330,0.4007,8.2053
9,0.79,7.1403,+0.8361,2.5393,4.6010,24.7076,+0.0518,0.4230,12.3365
10,0.81,7.1924,-0.0187,2.5315,4.6609,57.7546,+0.0445,0.4497,12.9183
11,0.79,6.8113,-0.1672,2.5279,4.2834,10.6570,+0.0419,0.4385,11.1117
12,0.78,6.6684,-0.6089,2.5335,4.1349,33.5117,+0.0220,0.4276,10.1896
13,0.78,6.8252,-0.1705,2.5365,4.2886,18.8577,-0.0208,0.4338,10.3840
14,0.81,5.6768,-0.3881,2.5417,3.1351,15.2172,+0.0292,0.4534,5.4062
15,0.81,6.4135,+0.4447,2.5489,3.8645,15.5473,+0.0186,0.4573,9.7656
16,0.80,6.6417,+0.5955,2.5379,4.1037,10.0730,+0.0156,0.4354,9.8009
17,0.81,7.2517,-0.5965,2.5469,4.7048,35.7298,+0.0173,0.4522,13.0723
18,0.81,7.5922,+0.2294,2.5287,5.0634,29.8355,+0.0066,0.4563,13.1429
19,0.81,6.4662,+0.1453,2.5159,3.9502,3.3413,+0.0353,0.4825,9.0216
20,0.81,7.9945,+0.1584,2.5173,5.4772,51.9370,+0.0343,0.4900,16.3656
21,0.80,6.2350,-0.0369,2.5296,3.7054,7.5452,+0.0322,0.4544,8.0934
22,0.78,6.1089,+0.3554,2.5441,3.5648,35.9074,+0.0678,0.4705,6.6173
23,0.80,9.4750,+0.2243,2.5558,6.9192,358.2880,+0.0552,0.5002,24.5541
24,0.82,6.0466,-0.1188,2.5663,3.4804,4.7480,+0.0599,0.4888,6.8062
25,0.84,7.6812,-1.4465,2.5706,5.1105,284.1090,+0.0408,0.4596,15.3354
26,0.82,6.9192,-0.0748,2.5459,4.3733,26.8468,+0.0359,0.4795,10.2440
27,0.81,6.9596,-0.1671,2.5515,4.4081,50.7483,+0.0147,0.4204,11.0627
28,0.81,6.1792,-0.0269,2.5693,3.6099,5.4490,+0.0230,0.4749,7.3169
29,0.80,5.9858,-0.1144,2.5548,3.4309,2.0687,+0.0288,0.4752,6.2661
30,0.81,6.7448,-1.0414,2.5487,4.1961,26.7318,+0.0104,0.4468,11.0750
31,0.80,6.3831,+0.1876,2.5444,3.8387,6.1673,+0.0086,0.4982,9.0501
32,0.78,8.3662,-0.8014,2.5544,5.8118,240.5516,+0.0013,0.5048,20.3825
33,0.79,6.8376,-0.7200,2.5437,4.2939,85.6355,-0.0080,0.5037,11.4686
34,0.80,6.4356,-0.0592,2.5246,3.9109,4.8800,+0.0092,0.5255,9.0571
35,0.79,6.2342,-0.0070,2.5229,3.7113,2.8179,+0.0095,0.5664,7.3549
36,0.82,6.3867,+0.0417,2.5525,3.8341,5.7794,-0.0014,0.5548,8.2699
37,0.81,25.9746,-18.0560,2.5402,23.4344,37317.0117,-0.0066,0.5386,103.8313
38,0.81,11.4378,-1.7759,2.5425,8.8953,1115.4341,+0.0032,0.4947,33.0655
39,0.80,7.2592,-0.0832,2.5544,4.7048,31.4138,+0.1006,0.4493,12.5230
40,0.80,13.4029,-2.6393,2.5437,10.8593,2630.4404,+0.0858,0.4636,41.5603
41,0.80,6.7598,+1.5371,2.5304,4.2294,11.4277,+0.0620,0.4972,9.6134
42,0.81,7.7950,+3.7559,2.5405,5.2544,181.1807,+0.0732,0.4703,17.3849
43,0.80,7.0263,+0.7252,2.5320,4.4943,68.4719,+0.0548,0.4701,11.5116
44,0.77,6.0386,+0.8364,2.5398,3.4989,12.6967,+0.0677,0.4676,6.9680
45,0.80,7.1543,+0.6916,2.5453,4.6090,61.6768,+0.0804,0.4469,12.4835
46,0.82,6.3665,-0.2907,2.5420,3.8245,6.0320,+0.0627,0.4575,9.1799
47,0.80,7.0126,-0.0549,2.5538,4.4588,46.2759,+0.0768,0.5027,12.0109
48,0.80,6.7521,-0.0499,2.5535,4.1986,19.6836,+0.0203,0.4417,11.1187
49,0.83,10.7679,-2.9832,2.5437,8.2241,1952.6150,+0.0383,0.4594,30.8941
50,0.80,6.3906,-0.4599,2.5523,3.8384,22.4891,-0.0070,0.4787,9.7673
51,0.80,5.7900,+0.0043,2.5534,3.2366,4.5356,+0.0441,0.4628,7.2417
52,0.81,7.6196,-0.6261,2.5715,5.0480,281.9360,+0.0466,0.4431,15.1703
53,0.78,9.5442,-0.9860,2.5636,6.9806,934.1191,-0.0132,0.4150,24.8354
54,0.78,7.0744,+2.1542,2.5615,4.5129,35.3969,+0.0275,0.4259,12.3730
