step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
65,0.42,3.9942,+0.0069,1.9649,2.0293,0.0215,+0.1257,3.3143,19.3529
66,0.43,3.9819,-0.0045,1.9554,2.0265,0.0376,+0.0584,2.9833,17.1174
67,0.41,3.9998,+0.0155,1.9635,2.0363,0.0446,+0.1547,3.6615,19.2878
68,0.42,3.9768,-0.0205,1.9317,2.0451,0.0268,+0.2988,3.1080,18.2423
69,0.43,3.9914,+0.0051,1.9588,2.0325,0.0398,+0.2059,2.7495,15.7729
70,0.40,3.9870,+0.0171,1.9512,2.0358,0.0250,+0.1539,3.7621,19.1539
71,0.44,3.9777,+0.0012,1.9310,2.0467,0.0217,+0.2205,3.0506,17.8489
72,0.41,3.9613,+0.0142,1.9497,2.0117,0.0204,+0.2946,3.3317,19.7596
73,0.43,3.9986,+0.0091,1.9644,2.0342,0.0254,+0.0369,4.4536,21.1231
74,0.44,4.0105,+0.0036,1.9859,2.0246,0.0357,+0.0921,3.9032,20.4768
75,0.42,4.0076,+0.0192,1.9643,2.0433,0.0482,+0.1752,4.7095,19.1201
76,0.43,3.9699,+0.0074,1.9476,2.0223,0.0340,+0.0138,5.0046,18.4160
77,0.43,4.0136,-0.0158,1.9985,2.0152,0.0384,+0.0979,6.0619,23.7609
78,0.44,3.9839,-0.0173,1.9650,2.0189,0.0220,+0.4926,4.3875,19.3892
79,0.38,3.9670,-0.0093,1.9419,2.0252,0.0215,+0.2842,3.2050,17.2076
80,0.40,3.9897,-0.0019,1.9266,2.0632,0.0357,+0.0747,3.2059,15.8126
81,0.43,3.9880,+0.0111,1.9428,2.0453,0.0147,+0.1942,3.6164,17.8125
82,0.41,3.9837,+0.0172,1.9302,2.0535,0.0392,+0.0730,3.3202,15.8295
83,0.38,3.9978,-0.0189,1.9642,2.0336,0.0411,+0.0205,3.5664,17.2738
84,0.39,3.9956,-0.0009,1.9638,2.0319,0.0434,+0.1062,4.1315,18.7865
85,0.42,3.9876,-0.0163,1.9370,2.0506,0.0370,-0.0349,2.9897,17.1836
86,0.44,3.9899,-0.0090,1.9731,2.0169,0.0309,-0.0734,3.8877,18.5688
87,0.40,4.0084,-0.0030,1.9548,2.0536,0.0312,+0.0223,2.9230,17.8734
88,0.40,3.9905,-0.0095,1.9315,2.0590,0.0242,+0.0049,2.7990,15.8667
89,0.41,4.0113,+0.0073,1.9575,2.0538,0.0427,+0.1439,3.1076,18.0364
90,0.41,3.9730,+0.0184,1.9604,2.0126,0.0325,+0.1390,3.0482,17.6823
91,0.41,3.9788,-0.0096,1.9451,2.0338,0.0212,+0.1899,2.7568,15.1523
92,0.41,3.9638,+0.0149,1.9526,2.0112,0.0222,+0.0633,3.0165,16.7795
93,0.40,3.9861,+0.0060,1.9356,2.0505,0.0157,-0.1250,3.9363,18.2503
94,0.42,3.9574,-0.0231,1.9205,2.0369,0.0323,+0.0049,3.9403,15.1875
95,0.40,4.0026,+0.0030,1.9930,2.0095,0.0484,+0.1649,4.7893,19.2728
96,0.41,3.9827,-0.0162,1.9452,2.0375,0.0359,+0.2552,3.8345,16.5901
97,0.41,4.0040,-0.0120,1.9879,2.0160,0.0314,+0.0901,3.0434,16.8795
98,0.42,3.9582,+0.0063,1.9484,2.0097,0.0200,+0.0576,2.9777,17.3939
99,0.42,3.9702,-0.0050,1.9275,2.0427,0.0240,+0.1003,3.1734,15.6806
100,0.38,3.9696,-0.0060,1.9586,2.0110,0.0231,-0.1687,3.1696,15.9961
101,0.41,3.9776,+0.0064,1.9257,2.0519,0.0222,-0.3090,2.5693,16.4160
102,0.40,3.9751,+0.0163,1.9253,2.0499,0.0241,-0.2931,3.1391,16.4862
103,0.40,3.9606,-0.0056,1.9576,2.0029,0.0256,-0.3287,4.2939,17.0443
104,0.40,3.9786,-0.0157,1.9663,2.0123,0.0437,-0.3084,4.5816,16.9390
105,0.43,3.9687,+0.0120,1.9669,2.0018,0.0441,-0.3329,3.7865,16.5424
106,0.42,3.9713,+0.0088,1.9757,1.9956,0.0342,-0.2027,4.4580,17.0873
107,0.40,3.9604,-0.0063,1.9561,2.0043,0.0170,-0.3251,4.1304,17.9196
108,0.42,3.9926,-0.0026,1.9453,2.0474,0.0225,-0.3693,3.8138,16.3084
109,0.41,3.9746,+0.0005,1.9324,2.0422,0.0228,-0.2437,3.8841,16.1475
110,0.43,3.9920,+0.0070,1.9401,2.0519,0.0298,-0.3162,3.5347,15.9884
111,0.39,3.9793,+0.0173,1.9430,2.0362,0.0169,-0.1249,3.3248,15.7267
112,0.43,3.9740,-0.0323,1.9437,2.0303,0.0224,+0.0660,3.6330,17.3271
113,0.41,3.9780,-0.0066,1.9632,2.0148,0.0396,-0.2345,3.5217,15.4968
114,0.41,3.9752,+0.0025,1.9480,2.0272,0.0251,-0.1963,3.3922,17.5571
115,0.42,3.9901,+0.0014,1.9614,2.0288,0.0255,-0.0379,3.8681,17.7463
116,0.38,3.9671,-0.0073,1.9217,2.0454,0.0168,-0.0412,2.5460,13.9265
117,0.40,3.9902,-0.0087,1.9284,2.0619,0.0174,-0.0549,3.2803,15.7913
118,0.43,3.9791,+0.0085,1.9663,2.0128,0.0206,-0.0477,2.6583,15.5558
119,0.41,3.9850,+0.0020,1.9633,2.0217,0.0202,+0.1764,4.6148,17.4667
120,0.42,3.9965,-0.0237,1.9665,2.0300,0.0314,+0.0993,4.5889,18.1376
121,0.39,3.9416,-0.0213,1.9510,1.9906,0.0564,+0.1914,3.8978,14.8441
122,0.38,3.9920,-0.0032,1.9251,2.0669,0.0185,-0.0883,3.9279,14.8525
123,0.41,3.9739,+0.0081,1.9163,2.0576,0.0224,-0.1447,3.6668,15.0549
124,0.41,3.9889,-0.0080,1.9201,2.0687,0.0188,+0.0641,4.5361,16.7568
125,0.40,3.9617,+0.0008,1.9196,2.0421,0.0282,+0.1453,3.6263,13.5022
126,0.39,3.9811,+0.0085,1.9292,2.0519,0.0388,+0.0167,3.0451,13.3187
127,0.40,3.9696,-0.0046,1.9592,2.0104,0.0295,+0.0212,3.7734,15.1618
128,0.42,3.9491,+0.0207,1.9382,2.0109,0.0204,-0.0394,3.8907,14.4029
129,0.40,3.9820,+0.0055,1.9390,2.0431,0.0331,-0.0225,3.6283,14.8811
130,0.41,3.9607,+0.0066,1.9322,2.0284,0.0213,-0.1242,3.9546,14.9823
131,0.39,3.9761,+0.0075,1.9357,2.0404,0.0272,+0.1584,4.4978,15.6014
132,0.39,3.9588,+0.0081,1.9370,2.0217,0.0263,-0.2098,3.7131,13.6060
133,0.40,3.9708,-0.0143,1.9712,1.9996,0.0360,+0.0494,3.4616,14.0401
134,0.39,4.0052,-0.0192,1.9607,2.0445,0.0343,-0.0429,3.8668,16.4018
135,0.41,3.9800,+0.0050,1.9428,2.0373,0.0328,-0.0784,3.4087,13.9144
136,0.40,3.9708,-0.0074,1.9119,2.0589,0.0209,-0.0152,3.5130,12.3351
137,0.42,3.9546,-0.0082,1.9215,2.0331,0.0223,-0.0108,2.8665,12.7860
138,0.39,3.9635,+0.0094,1.9344,2.0291,0.0144,-0.0311,3.0322,13.9633
139,0.39,3.9626,-0.0056,1.9292,2.0334,0.0212,-0.1500,4.3408,15.0603
140,0.41,3.9543,-0.0020,1.9242,2.0301,0.0131,-0.1484,3.4951,13.1590
141,0.40,3.9721,+0.0028,1.9513,2.0208,0.0362,+0.2426,3.7495,12.4559
142,0.40,3.9803,+0.0021,1.9226,2.0577,0.0668,-0.0835,3.6545,12.2968
