step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.80,88.1877,-1.0389,2.5698,85.6180,155715.3906,-0.0839,8.8345,406.0129
1,0.81,35.0491,+0.3859,2.5714,32.4777,8617.4023,-0.3567,8.5145,135.3046
2,0.80,22.8816,-0.5626,2.5752,20.3063,1225.4089,-0.6312,7.0073,70.6508
3,0.80,33.7790,-0.4272,2.5695,31.2096,9347.6797,-0.6665,8.6644,129.9209
4,0.79,38.9532,+0.1243,2.5673,36.3860,17218.6484,-0.8734,9.1270,151.6966
5,0.80,35.8921,+0.4291,2.5544,33.3377,20460.1602,-0.6410,7.3075,148.4765
6,0.80,23.9880,-1.0718,2.5495,21.4385,963.1386,-0.6238,9.1189,87.9294
7,0.81,27.5060,+0.8314,2.5601,24.9459,2249.0159,-0.5181,6.2724,101.2821
8,0.79,24.7698,-0.2601,2.5580,22.2118,757.1265,-0.6217,8.0892,82.8452
9,0.79,21.1876,+1.0829,2.5759,18.6117,403.8792,-0.6513,8.3296,69.4520
10,0.80,25.4550,-0.3581,2.5610,22.8940,2519.3298,-0.2524,7.6934,93.9156
11,0.78,23.7272,+0.5479,2.5692,21.1580,1290.9926,-0.2953,8.8151,81.4529
12,0.80,21.1781,+0.5197,2.5976,18.5806,698.8860,-0.2981,8.4563,70.3532
13,0.80,49.5026,+0.5802,2.6184,46.8841,102253.4922,-0.3365,8.3025,203.9400
14,0.79,27.3737,-0.4951,2.5947,24.7790,3981.9395,-0.0301,5.7540,99.0516
15,0.79,25.1811,+0.1577,2.5986,22.5825,2076.1648,-0.2587,6.1697,90.0235
16,0.79,22.1678,-0.0090,2.5981,19.5697,854.1447,-0.5546,6.9894,68.4433
17,0.81,18.5724,+0.1622,2.6066,15.9658,312.6086,-0.4277,8.5102,58.0058
18,0.78,20.2647,+0.4135,2.5995,17.6651,458.2879,-0.6525,8.2501,61.5033
19,0.80,20.9877,-1.1049,2.6091,18.3785,953.6830,-0.6726,7.7606,68.1051
20,0.79,37.1099,-1.3987,2.5966,34.5133,25689.6270,-0.5908,7.3557,153.6872
21,0.79,37.1130,-0.3372,2.5876,34.5253,34137.1445,-0.5582,8.4856,147.9755
22,0.78,19.0171,-0.2122,2.5897,16.4274,843.1406,-0.6952,7.4313,56.0842
23,0.80,18.0181,-0.0585,2.5761,15.4420,266.8687,-0.6159,6.7837,47.4107
